Contig,Position,s82A_T1_SORTED_FILTERED-A,s82A_T1_SORTED_FILTERED-C,s82A_T1_SORTED_FILTERED-G,s82A_T1_SORTED_FILTERED-T,s82A_T2_SORTED_FILTERED-A,s82A_T2_SORTED_FILTERED-C,s82A_T2_SORTED_FILTERED-G,s82A_T2_SORTED_FILTERED-T,s82A_T3_SORTED_FILTERED-A,s82A_T3_SORTED_FILTERED-C,s82A_T3_SORTED_FILTERED-G,s82A_T3_SORTED_FILTERED-T,s82A_T4_SORTED_FILTERED-A,s82A_T4_SORTED_FILTERED-C,s82A_T4_SORTED_FILTERED-G,s82A_T4_SORTED_FILTERED-T,s82A_T5_SORTED_FILTERED-A,s82A_T5_SORTED_FILTERED-C,s82A_T5_SORTED_FILTERED-G,s82A_T5_SORTED_FILTERED-T,s82A_T6_SORTED_FILTERED-A,s82A_T6_SORTED_FILTERED-C,s82A_T6_SORTED_FILTERED-G,s82A_T6_SORTED_FILTERED-T,s82A_T7_SORTED_FILTERED-A,s82A_T7_SORTED_FILTERED-C,s82A_T7_SORTED_FILTERED-G,s82A_T7_SORTED_FILTERED-T,s82A_T8_SORTED_FILTERED-A,s82A_T8_SORTED_FILTERED-C,s82A_T8_SORTED_FILTERED-G,s82A_T8_SORTED_FILTERED-T
649,9921,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,34,0,0,0,0,0,5,0,42,0,0,0,0,0,0,0,0
649,9945,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,4,0,0,0,0,47,1,0,4,0,0,0,0,0,0,0,0
649,9960,0,0,0,0,0,0,0,0,0,0,0,0,4,36,0,0,0,0,0,0,3,49,0,2,0,0,0,0,0,0,0,0
649,10070,0,61,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
649,10173,0,75,0,6,0,0,0,0,0,4,0,43,0,26,0,22,0,0,0,0,0,14,0,35,0,0,0,0,0,0,0,0
649,10242,86,0,8,0,0,0,0,0,5,0,44,0,29,0,18,0,0,0,0,0,13,0,31,0,0,0,0,0,0,0,0,0
649,10308,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1095,1417,0,0,0,0,0,0,0,0,0,0,31,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1095,1402,0,0,0,0,0,0,0,0,42,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1095,1354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,6,0,0,0,0,0,0,0,0,0
1095,1336,0,0,0,0,0,0,0,0,47,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1095,1303,11,0,85,0,0,0,0,0,78,0,7,0,36,0,18,0,13,0,1,0,41,0,28,0,0,0,0,0,0,0,0,0
1095,1295,0,0,0,0,0,0,0,0,50,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1095,1261,0,0,0,0,0,0,0,0,41,0,0,41,22,0,0,37,1,0,0,10,39,0,0,33,0,0,0,0,0,0,0,0
1095,1213,0,0,0,0,0,0,0,0,0,35,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1095,1207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,6,0,0,0,0,0,0,0,0,0
1095,1198,0,0,0,0,0,0,0,0,42,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1095,1183,0,0,1,75,0,0,0,0,31,0,0,41,0,4,0,40,0,0,0,0,0,7,0,52,0,0,0,0,0,0,0,0
1095,1174,0,0,0,0,0,0,0,0,31,0,39,0,2,0,36,0,0,0,0,0,7,0,55,0,0,0,0,0,0,0,0,0
1095,1165,0,0,0,0,0,0,0,0,28,0,38,0,3,0,38,0,0,0,0,0,7,0,57,0,0,0,0,0,0,0,0,0
1095,1159,0,0,0,0,0,0,0,0,0,28,0,39,0,3,0,35,0,0,0,0,0,8,0,56,0,0,0,0,0,0,0,0
1095,1117,0,0,0,0,0,0,0,0,0,41,0,19,0,0,0,0,0,0,0,0,0,61,0,6,0,0,0,0,0,0,0,0
1095,1114,0,0,0,0,0,0,0,0,42,0,17,0,0,0,0,0,0,0,0,0,63,0,5,0,0,0,0,0,0,0,0,0
1095,1111,0,0,0,0,0,0,0,0,19,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1095,1102,0,0,0,0,0,0,0,0,21,0,0,45,0,0,0,0,0,0,0,0,0,5,0,62,0,0,0,0,0,0,0,0
1095,1072,0,0,0,0,0,0,0,0,25,0,0,45,0,0,0,0,0,0,0,0,5,0,0,53,0,0,0,0,0,0,0,0
1098,3889,0,0,0,0,0,0,0,0,56,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1098,3883,0,0,0,0,0,0,0,0,0,10,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1098,3868,0,0,0,0,0,0,0,0,9,0,54,0,7,0,43,0,0,0,0,0,11,0,53,0,0,0,0,0,0,0,0,0
1098,3532,74,0,6,0,0,0,0,0,5,0,44,0,15,0,19,0,0,0,0,0,14,0,18,0,0,0,0,0,0,0,0,0
1098,3484,81,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1098,3346,0,0,9,62,0,0,0,0,0,0,38,8,0,0,28,14,0,0,0,0,0,0,21,15,0,0,0,0,0,0,0,0
1098,3306,6,0,59,0,0,0,0,0,46,0,5,0,22,0,17,0,0,0,0,0,16,0,27,0,0,0,0,0,0,0,0,0
1098,3259,11,0,54,0,0,0,0,0,49,0,6,0,15,0,22,0,0,0,0,0,20,0,26,0,0,0,0,0,0,0,0,0
1098,3253,10,0,54,0,0,0,0,0,51,0,6,0,15,0,22,0,0,0,0,0,20,0,27,0,0,0,0,0,0,0,0,0
1098,3247,0,10,0,56,0,0,0,0,0,51,0,6,0,14,0,23,0,0,0,0,0,17,0,26,0,0,0,0,0,0,0,0
1098,3100,0,0,22,7,0,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,0,0,11,15,0,0,0,0,0,0,0,0
1098,3097,0,19,0,7,0,0,0,0,0,0,0,0,0,7,0,11,0,0,0,0,0,11,0,15,0,0,0,0,0,0,0,0
1098,3094,0,7,0,22,0,0,0,0,0,0,0,0,0,11,0,7,0,0,0,0,0,14,0,8,0,0,0,0,0,0,0,0
1098,3082,8,0,28,0,0,0,0,0,0,0,0,0,17,0,8,0,0,0,0,0,17,0,4,0,0,0,0,0,0,0,0,0
1098,3064,0,0,7,25,0,0,0,0,0,0,0,0,0,0,19,9,0,0,0,0,0,0,24,7,0,0,0,0,0,0,0,0
1098,3058,11,0,20,0,0,0,0,0,0,0,0,0,20,0,12,0,0,0,0,0,24,0,7,0,0,0,0,0,0,0,0,0
1098,3000,9,0,51,0,0,0,0,0,47,0,4,0,21,0,16,0,0,0,0,0,27,0,16,0,0,0,0,0,0,0,0,0
1098,2854,80,0,8,0,0,0,0,0,1,0,47,0,23,0,17,0,1,0,11,0,15,0,23,0,0,0,0,0,0,0,0,0
1098,2716,0,84,0,5,0,0,0,0,0,6,0,55,0,24,0,17,0,0,0,0,0,13,0,31,0,0,0,0,0,0,0,0
1098,2635,0,0,0,0,0,0,0,0,0,4,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1098,2597,0,0,0,0,0,0,0,0,0,41,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1099,4567,0,0,0,0,0,0,0,0,43,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1099,4561,0,0,0,0,0,0,0,0,0,0,0,0,42,7,0,0,0,0,0,0,44,10,0,0,0,0,0,0,0,0,0,0
1099,4504,0,0,0,0,0,0,0,0,0,0,0,0,42,5,0,0,0,0,0,0,45,5,0,0,0,0,0,0,0,0,0,0
1099,4501,0,0,0,0,0,0,0,0,0,0,0,0,5,0,42,0,0,0,0,0,5,0,45,0,0,0,0,0,0,0,0,0
1099,4498,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,7,0,0,0,0,45,0,0,5,0,0,0,0,0,0,0,0
1099,4495,0,0,0,0,0,0,0,0,0,0,0,0,40,0,8,0,0,0,0,0,44,0,5,0,0,0,0,0,0,0,0,0
1099,4459,0,0,0,0,0,0,0,0,37,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1099,4441,0,0,0,0,0,0,0,0,52,1,36,0,41,0,0,8,0,0,0,0,53,0,0,4,0,0,0,0,0,0,0,0
1099,4414,0,0,0,0,0,0,0,0,31,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1099,4402,0,0,0,0,0,0,0,0,1,32,48,0,5,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1099,4399,0,0,0,0,0,0,0,0,0,0,0,0,5,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1099,4327,0,0,0,0,0,0,0,0,0,2,16,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1099,4297,0,0,0,0,0,0,0,0,10,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1099,4285,0,0,0,0,0,0,0,0,54,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1099,4264,64,0,4,0,0,0,0,0,6,0,50,0,12,0,21,11,0,0,0,0,24,0,26,0,0,0,0,0,0,0,0,0
1099,4261,0,0,0,0,0,0,0,0,0,4,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1099,4258,0,0,0,0,0,0,0,0,0,4,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1099,4171,0,0,0,0,0,0,0,0,40,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1099,4168,0,0,0,0,0,0,0,0,0,41,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1099,4165,0,0,0,0,0,0,0,0,41,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1102,5799,0,0,0,0,0,0,0,0,0,0,0,0,7,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1102,5800,0,0,0,0,0,0,0,0,0,6,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1102,5787,0,0,0,0,0,0,0,0,68,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1102,5784,0,0,0,0,0,0,0,0,0,67,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1102,5757,0,0,0,0,0,0,0,0,67,0,16,0,0,0,0,0,0,0,0,0,46,0,4,0,0,0,0,0,0,0,0,0
1102,5706,0,0,0,0,0,0,0,0,0,38,0,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1102,5670,0,0,0,0,0,0,0,0,0,69,0,35,0,0,0,0,0,0,0,0,0,47,0,5,0,0,0,0,0,0,0,0
1102,5646,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,53,0,0,0,0,4,0,0,43,0,0,0,0,0,0,0,0
1102,5631,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1102,5621,0,0,0,0,0,0,0,0,0,0,0,0,4,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1103,6327,0,0,0,0,0,0,0,0,0,51,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1103,6312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,58,0,0,0,0,0,0,0,0
1103,6297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,5,0,0,0,0,0,0,0,0,0
1103,6291,0,72,0,10,0,0,0,0,0,6,0,50,0,17,0,20,0,3,0,8,0,22,0,35,0,0,0,0,0,0,0,0
1103,6287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,50,0,0,0,0,0,0,0,0
1103,6243,0,0,0,0,0,0,0,0,27,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1103,6230,0,0,0,0,0,0,0,0,51,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1103,6216,0,0,0,0,0,0,0,0,54,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1103,6129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,5,0,0,0,0,0,0,0,0,0
1103,6130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,45,0,0,0,0,0,0,0,0,0
1103,6101,0,0,0,0,0,0,0,0,19,0,56,0,0,0,0,0,0,0,0,0,5,0,52,0,0,0,0,0,0,0,0,0
1103,6090,0,0,0,0,0,0,0,0,0,51,0,14,0,0,0,0,0,0,0,0,0,54,0,4,0,0,0,0,0,0,0,0
1103,6091,0,0,0,0,0,0,0,0,0,51,0,15,0,0,0,0,0,0,0,0,0,53,0,6,0,0,0,0,0,0,0,0
1103,6055,0,0,0,0,0,0,0,0,44,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1103,5937,0,68,0,2,0,0,0,0,0,4,0,36,1,22,0,22,0,4,0,9,1,16,0,27,0,0,0,0,0,0,0,0
1103,5880,0,61,0,6,0,0,0,0,0,5,0,45,0,34,0,38,0,0,0,0,0,21,0,35,0,0,0,0,0,0,0,0
1103,5877,65,0,2,0,0,0,0,0,5,0,47,0,33,0,38,0,0,0,0,0,21,0,35,0,0,0,0,0,0,0,0,0
1104,6734,0,0,0,0,0,0,0,0,0,16,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1104,6731,0,0,0,0,0,0,0,0,0,0,0,0,5,0,37,0,0,0,0,0,8,0,61,0,0,0,0,0,0,0,0,0
1104,6724,0,0,0,0,0,0,0,0,53,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1104,6716,0,0,0,0,0,0,0,0,11,54,0,0,5,41,0,0,0,0,0,0,10,60,0,0,0,0,0,0,0,0,0,0
1104,6705,0,0,0,0,0,0,0,0,0,0,0,0,43,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1104,6650,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,41,0,0,0,0,5,0,0,46,0,0,0,0,0,0,0,0
1104,6652,0,0,0,0,0,0,0,0,0,0,0,0,6,42,0,0,0,0,0,0,5,47,0,0,0,0,0,0,0,0,0,0
1104,6632,0,0,0,0,0,0,0,0,0,0,0,0,43,0,5,0,0,0,0,0,45,0,4,0,0,0,0,0,0,0,0,0
1104,6629,0,0,0,0,0,0,0,0,0,0,0,0,7,0,43,0,0,0,0,0,4,0,47,0,0,0,0,0,0,0,0,0
1104,6554,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,6,0,0,0,0,0,48,0,5,0,0,0,0,0,0,0,0
1104,6548,0,0,0,0,0,0,0,0,0,0,0,0,59,0,4,0,0,0,0,0,49,0,4,0,0,0,0,0,0,0,0,0
1104,6530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,4,0,0,0,0,0,0,0,0
1104,6518,0,0,0,0,0,0,0,0,42,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1104,6515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,61,0,0,0,0,0,0,0,0
1104,6503,0,0,0,0,0,0,0,0,43,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1104,6488,0,0,0,0,0,0,0,0,46,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1104,6470,0,94,0,7,0,0,0,0,0,8,0,74,0,29,0,35,0,0,0,0,0,27,0,36,0,0,0,0,0,0,0,0
1104,6446,0,0,0,0,0,0,0,0,1,0,45,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1104,6425,5,0,91,0,0,0,0,0,70,0,9,0,39,0,36,0,0,0,0,0,26,0,26,0,0,0,0,0,0,0,0,0
1104,6421,0,0,0,0,0,0,0,0,0,31,0,51,0,2,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,7629,0,0,0,0,0,0,0,0,0,0,0,0,5,0,50,0,0,0,0,0,7,0,41,0,0,0,0,0,0,0,0,0
1106,7617,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,50,0,0,0,0,0,5,0,37,0,0,0,0,0,0,0,0
1106,7590,0,0,0,0,0,0,0,0,0,0,0,0,57,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,7461,0,0,0,0,0,0,0,0,0,5,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,7452,0,0,0,0,0,0,0,0,60,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,7446,0,0,0,0,0,0,0,0,9,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,7416,0,0,0,0,0,0,0,0,0,25,0,57,0,0,0,0,0,0,0,0,5,0,0,43,0,0,0,0,0,0,0,0
1106,7398,0,9,0,87,0,0,0,0,0,77,0,7,0,29,0,28,0,9,0,4,0,33,0,16,0,0,0,0,0,0,0,0
1106,7395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,4,0,0,0,0,0,0,0,0,0
1106,7368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,5,0,0,0,0,0,0,0,0,0
1106,7359,0,0,0,0,0,0,0,0,0,0,56,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,7344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,8,0,0,0,0,0,0,0,0,0
1106,7317,0,0,0,0,0,0,0,0,48,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,7269,0,0,0,0,0,0,0,0,0,44,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,7257,0,0,0,0,0,0,0,0,46,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,7239,0,0,0,0,0,0,0,0,56,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,7189,0,0,0,0,0,0,0,0,0,33,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,7161,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,7163,0,0,0,0,0,0,0,0,0,0,0,0,6,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1107,7948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,5,0,0,0,0,0,0,0,0
1107,7950,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,34,0,0,0,0,0,0,0,0,0
1107,7945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,37,0,0,0,0,0,0,0,0,0
1107,7936,0,0,0,0,0,0,0,0,0,0,0,0,48,0,3,1,0,0,0,0,37,0,4,0,0,0,0,0,0,0,0,0
1107,7876,0,0,10,80,0,0,0,0,0,0,38,3,0,0,25,26,0,0,0,0,0,0,22,24,0,0,0,0,0,0,0,0
1107,7870,0,85,0,11,0,0,0,0,0,2,0,37,0,26,0,24,0,0,0,0,0,24,0,22,0,0,0,0,0,0,0,0
1107,7864,0,1,11,85,0,0,0,0,0,0,37,2,0,0,21,27,0,0,0,0,0,0,21,25,0,0,0,0,0,0,0,0
