scaffold	length	coverage	breadth	nucl_diversity	coverage_median	coverage_std	coverage_SEM	breadth_minCov	breadth_expected	nucl_diversity_median	nucl_diversity_rarefied	nucl_diversity_rarefied_median	breadth_rarefied	conANI_reference	popANI_reference	SNS_count	SNV_count	divergent_site_count	population_divergent_sites	consensus_divergent_sites
NORP83_80	5104	43.844239811912225	0.9992163009404388	0.0031930019882455696	45	12.646222894498939	0.17703048043987096	0.9357366771159876	1.0	0.0	0.003539125356312733	0.0	0.3360109717868339	0.9951842546063652	0.9968592964824119	15	21	36	15	23
NORP83_81	3256	41.38943488943489	0.9996928746928748	0.0026936169075644227	46	15.222391093049113	0.2668132415468613	0.8642506142506142	1.0	0.0	0.0027938207686254435	0.0	0.29821867321867324	0.9975124378109452	0.9989339019189766	3	12	15	3	7
NORP83_82	3601	45.27242432657596	0.9983337961677312	0.003587826667059257	47	10.47088705066472	0.17451478417774532	0.9669536239933352	1.0	0.0	0.004022922719105647	0.0	0.3876700916412108	0.9956921309592188	0.9982768523836876	6	20	26	6	15
NORP83_83	3361	39.02796786670634	0.999702469503124	0.004036294657711047	44	16.829609459029292	0.2903383466214606	0.8113656649806605	0.9999999999999988	0.0	0.003702654951089901	0.0	0.3025885153228206	0.9922992299229924	0.9944994499449944	15	13	28	15	21
NORP83_84	6262	38.95225167678058	0.9667837751517088	0.0042495173967341815	44	17.52099950649792	0.2214302883016141	0.8157138294474608	0.9999999999999988	0.0	0.004127053174995621	0.0	0.2644522516767806	0.9939310884886452	0.9972592012529364	14	40	54	14	31
NORP83_85	5620	40.50373665480427	0.99644128113879	0.004406194707246125	43	16.791705510095355	0.2240089100960371	0.8544483985765124	0.9999999999999996	0.0	0.003219108387922831	0.0	0.3352313167259787	0.990420658059142	0.9977092877967514	11	44	55	11	46
NORP83_86	3077	37.877803054923625	0.9974000649983752	0.006417027089448135	42	15.137760360720248	0.27294080007237104	0.8446538836529087	0.999999999999997	0.0	0.004783122348382962	0.0	0.23106922326941826	0.981531358214698	0.9949980761831474	13	37	50	13	48
NORP83_87	12913	46.21993340044915	0.9993030279563232	0.0031912050447636675	47	9.534846398184117	0.08391062240520628	0.9782389839696429	1.0	0.0	0.0030766248335316604	0.0	0.35150623402772396	0.9964376187460418	0.998812539582014	15	64	79	15	45
NORP83_88	3672	15.841503267973854	0.9188453159041394	0.004693134053863735	6	18.201380119734363	0.3004084381460684	0.3292483660130719	0.9999991584727032	0.0	0.0042487397915175204	0.0	0.06481481481481481	0.9884201819685692	0.9909015715467328	11	8	19	11	14
NORP83_89	16928	42.227847353497154	0.9999409262759924	0.00409642177966818	44	11.807655755876727	0.09075565301262392	0.941398865784499	1.0	0.0	0.003174240016937224	0.0	0.2953686200378072	0.9946034136546184	0.9978664658634538	34	115	149	34	86
NORP83_9	17245	41.50727747173094	0.9347636996230791	0.002947524157131398	44	15.635724082852331	0.1190690780548086	0.8952160046390258	1.0	0.0	0.0029772488431232262	0.0	0.2971875906059728	0.9972146651120612	0.9988988210908148	17	58	75	17	43
NORP83_90	14944	42.408391327623136	0.999799250535332	0.003500554654304766	44	13.207135900196647	0.10804128689461644	0.9294700214132764	1.0	0.0	0.0032732037926567203	0.0	0.3166488222698073	0.9963282937365012	0.9983441324694023	23	72	95	23	51
NORP83_91	11624	45.905712319339294	0.9996558843771508	0.003008701515946899	48	13.06824910267632	0.1212155357592574	0.9308327598072952	1.0	0.0	0.002664244980595587	0.0	0.4073468685478321	0.9953789279112756	0.9972273567467652	30	42	72	30	50
NORP83_92	3536	30.83003393665159	0.973133484162896	0.004572718527789843	38	20.769724654314576	0.3493301175637024	0.5947398190045249	0.999999999998496	0.0	0.005126091894617546	0.0	0.2525452488687783	0.9961959106038992	0.9985734664764622	3	13	16	3	8
NORP83_93	5116	37.049257232212675	0.9962861610633308	0.0034173994576606197	41	17.514551010594403	0.2448928974120657	0.7969116497263488	0.9999999999999938	0.0	0.0019629393522732075	0.0	0.3059030492572322	0.993868040225656	0.9982830512631836	7	21	28	7	25
NORP83_1	4659	48.162695857480145	1.0	0.004390400262719418	50	13.321447883597191	0.19518735905345608	0.9693067181798668	1.0	0.0	0.0032656667629877845	0.0	0.5151320025756599	0.9933569530558016	0.9977856510186004	10	38	48	10	30
NORP83_10	8332	46.678228516562655	0.9984397503600576	0.004187848890973678	48	11.996980790433993	0.13143874272979938	0.9576332213154104	1.0	0.0	0.003182521789567905	0.0	0.4559529524723956	0.9929815766386764	0.9969921042737184	24	60	84	24	56
NORP83_100	12058	41.53309006468734	0.9988389450986896	0.004741047225757078	44	12.826092531068873	0.11680857834826862	0.9262730137667938	1.0	0.0	0.0035489488184575757	0.0	0.28006302869464256	0.9907780463783687	0.9975825946817084	27	108	135	27	103
NORP83_101	19219	46.81617149695614	0.9615484676622092	0.0038550724695951563	49	15.082946226319873	0.10880079987190347	0.9483323794162029	1.0	0.0	0.004226592765534831	0.0	0.4598054009053541	0.99555579940744	0.9979699330626576	37	117	154	37	81
NORP83_102	6503	35.465016146393964	0.9992311240965708	0.006160111601034911	38	15.56517299487359	0.19303251509946787	0.8019375672766416	0.9999999999999748	0.0	0.004035610148107049	0.0	0.20036906043364602	0.9842761265580058	0.994822627037392	27	59	86	27	82
NORP83_103	4467	45.16610700693978	0.992612491605104	0.003509883613750597	47	15.948405371484116	0.2386480590324975	0.9100067159167228	1.0	0.0	0.003477720227403447	0.0	0.3888515782404298	0.9965559655596556	0.998769987699877	5	20	25	5	14
NORP83_104	11963	47.25010448884059	0.9977430410432164	0.004103913782951052	48	11.179190999693253	0.1022135512010228	0.9630527459667308	1.0	0.0	0.0038516517314646226	0.0	0.445373234138594	0.997048867285826	0.9990452217689436	11	82	93	11	34
NORP83_105	5349	43.300429986913436	0.977005047672462	0.003140434495563338	46	15.144855550853007	0.20709491537603694	0.8979248457655636	1.0	0.0	0.002421731201324717	0.0	0.4060572069545709	0.995627732667083	0.9981261711430356	9	20	29	9	21
NORP83_106	8709	40.141462854518316	0.99804799632564	0.004279066890670924	44	16.434030509799427	0.17611034940434228	0.8344241589160638	0.9999999999999996	0.0	0.004190307258016057	0.0	0.3103685842232173	0.992018714737856	0.997798266134581	16	67	83	16	58
NORP83_107	3501	41.526992287917736	1.0	0.004325910183105797	44	17.781021459527715	0.3005541187987781	0.8480434161668094	1.0	0.0	0.004231340954492513	0.0	0.35361325335618393	0.9956214213539912	0.9976423038059952	7	19	26	7	13
NORP83_108	7871	44.1702452039131	0.9978401727861772	0.004233815968508914	48	16.63857915443301	0.1875550969547056	0.8818447465379241	1.0	0.0	0.0034687982230332537	0.0	0.4450514547071529	0.9939489987033568	0.9979829995677856	14	48	62	14	42
NORP83_109	4109	39.7627159892918	0.9961061085422244	0.0054513234986898204	45	16.011674738644	0.24981674292917905	0.8488683377950841	0.9999999999999994	0.0	0.0034073867864309326	0.0	0.3492333901192504	0.9939793577981652	0.9988532110091743	4	31	35	4	21
NORP83_11	10246	49.947198906890485	1.0	0.003644645361238208	50	11.071363786674139	0.10938181862034008	0.9882881124341206	1.0	0.0	0.003572710496565157	0.0	0.5264493460862776	0.9943709263282638	0.9970373296464546	30	55	85	30	57
NORP83_110	3671	44.258240261509115	0.9978207572868428	0.0041733965706785	45	11.46668796030936	0.18928010238933912	0.9648597112503404	1.0	0.0	0.004873413471169541	0.0	0.3176246254426587	0.9971767363071712	0.9980237154150198	7	26	33	7	10
NORP83_111	7890	48.04017743979721	0.999873257287706	0.0025415170102948137	50	10.902972605158864	0.12275351670093625	0.97617237008872	1.0	0.0	0.0022670543326657193	0.0	0.5231939163498099	0.9966242534406649	0.9984419631264606	12	24	36	12	26
NORP83_112	3538	40.95449406444319	1.0	0.004857278959143896	43	11.662021016290057	0.19609038076468624	0.9344262295081968	0.9999999999999998	0.0	0.0052054497623963405	0.0	0.20746184284906727	0.9972776769509982	0.998790078644888	4	28	32	4	9
NORP83_113	8360	45.05358851674641	0.9996411483253588	0.0032123313031241496	46	12.307425659210674	0.13461394706873347	0.9423444976076556	1.0	0.0	0.0031673837243840768	0.0	0.3726076555023923	0.9975882203604975	0.9996191926884996	3	44	47	3	19
NORP83_114	13225	46.11977315689982	0.9993950850661626	0.003333778425404721	48	12.132489398444273	0.10550389669313244	0.9534215500945179	1.0	0.0	0.0029438525960192585	0.0	0.4102079395085066	0.995003568879372	0.998017289237846	25	71	96	25	63
NORP83_115	7336	49.21823882224646	1.0	0.003123542070889607	51	11.032874438755748	0.12882157854048326	0.9734187568157032	1.0	0.0	0.0028588957469268816	0.0	0.5776990185387132	0.9967791625822714	0.9977594174485366	16	31	47	16	23
NORP83_116	3447	39.546272120684655	0.9991296779808531	0.004678280850613725	41	14.614814282698537	0.248963490598768	0.8752538439222513	0.9999999999999992	0.0	0.003405488610398466	0.0	0.26428778648099804	0.9890619821014252	0.9953596287703016	14	27	41	14	33
NORP83_117	8025	39.339439252336454	0.9945171339563864	0.0037472220757904795	42	13.370909826638727	0.14926758276738242	0.8944548286604361	0.9999999999999992	0.0	0.0033774546059694988	0.0	0.20560747663551399	0.9928949568124826	0.9972137085539148	20	49	69	20	51
NORP83_118	4027	28.98932207598709	0.944127141792898	0.005960324975136877	30	19.21421684177185	0.3028208696515645	0.5805810777253538	0.9999999999923596	0.0	0.006321292441672011	0.0	0.1691085175068289	0.987168520102652	0.9974337040205304	6	34	40	6	30
NORP83_119	5506	48.08645114420632	0.9970940791863422	0.003093336793509427	49	10.455142182130166	0.14091307157886612	0.9749364329822012	1.0	0.0	0.0030084202629390155	0.0	0.4702143116600073	0.9959016393442623	0.9981371087928465	10	26	36	10	22
NORP83_12	4556	46.51031606672521	0.9997805092186128	0.004565423903798993	50	14.697420198101346	0.2177694328897201	0.9251536435469709	1.0	0.0	0.003857615359250777	0.0	0.5043898156277437	0.992170818505338	0.9969157769869512	13	38	51	13	33
NORP83_120	3561	39.1592249368155	1.0	0.004591884532896384	43	15.864533938484303	0.2658901929122015	0.8354394832912103	0.999999999999999	0.0	0.004534241948054629	0.0	0.3296826734063465	0.9956302521008404	0.9989915966386554	3	18	21	3	13
NORP83_121	3273	46.269783073632745	0.9990834097158571	0.0028236065328929305	47	12.154705748975346	0.21248966021455554	0.9688359303391384	1.0	0.0	0.003035565813841345	0.0	0.39688359303391385	0.9974771365499844	0.998738568274992	4	7	11	4	8
NORP83_122	3697	46.44306194211523	1.0	0.005994188973284187	50	14.19101751940598	0.2334251007524235	0.92750879091155	1.0	0.0	0.004695547855514626	0.0	0.5407086827157155	0.9845435987168272	0.9950422863808692	17	45	62	17	53
NORP83_123	7672	42.10623044838373	0.9032846715328468	0.0036637889253189337	47	18.989577921265422	0.21681499779875615	0.8529718456725756	1.0	0.0	0.0041597088057439	0.0	0.4296141814389989	0.9941931540342298	0.9977078239608802	14	43	57	15	38
NORP83_124	12432	43.22932754182754	0.9989543114543116	0.003984871806796186	45	12.187540011412553	0.10931078704432247	0.9441763191763192	1.0	0.0	0.0033337593999025468	0.0	0.3021235521235521	0.9938660759925029	0.9982961322201396	20	93	113	20	72
NORP83_125	3590	42.35598885793872	0.9991643454038998	0.005653945076451783	44	11.038840597546349	0.1842624040049528	0.9571030640668524	1.0	0.0	0.00708507807854819	0.0	0.2501392757660167	0.9924330616996508	0.9976717112922002	8	45	53	8	26
NORP83_126	3257	43.64967761743936	0.998771875959472	0.002388494579939282	47	13.645960759885364	0.2391453385593103	0.91955787534541	1.0	0.0	0.0021210007815761767	0.0	0.4049739023641388	0.9973288814691152	0.9979966611018364	6	3	9	6	8
NORP83_127	4268	33.83481724461106	0.9995313964386128	0.006074197871151932	37	17.423191638689598	0.2667266387286367	0.7460168697282099	0.999999999999894	0.0	0.007259893305798902	0.0	0.17525773195876287	0.9855527638190956	0.9959170854271356	13	51	64	13	46
NORP83_128	3666	41.35597381342062	0.9994544462629568	0.004499175656634713	45	12.661035309349947	0.20913765325603692	0.9146208401527549	1.0	0.0	0.005527049364125181	0.0	0.2662302236770322	0.9931404712198032	0.9976140769460184	8	26	34	8	23
NORP83_129	6132	43.863992172211354	0.9990215264187868	0.0046774922322702075	47	16.43383306245171	0.2098810426193265	0.8742661448140899	1.0	0.0	0.004595987751711994	0.0	0.4227005870841487	0.9966424174594292	0.9992538705465398	4	46	50	4	18
NORP83_13	4643	49.565582597458544	1.0	0.0036736951638967055	51	11.113484465218965	0.16311641906769064	0.967047167779453	1.0	0.0	0.003900263718068064	0.0	0.5718285591212579	0.9968819599109132	0.999109131403118	4	26	30	4	14
NORP83_130	3239	42.260265514047546	0.9984563136770608	0.005357706070439061	46	14.031341403378342	0.24658165865460194	0.8962642790984872	1.0	0.0	0.0055174238419946064	0.0	0.3738808274158691	0.9913882190837066	0.9986221150533929	4	43	47	4	25
NORP83_24	8542	35.389253102317966	0.9990634511823928	0.005243587501111424	41	16.44822138068464	0.17797728674963065	0.7737063919456801	0.9999999999999732	0.0	0.003437037042023583	0.0	0.21493795364083354	0.9900136177939174	0.9984869117869573	10	79	89	10	66
NORP83_240	5660	38.71060070671377	0.9975265017667844	0.004681213828957032	43	14.128411367395838	0.1878120635787857	0.8712014134275619	0.9999999999999986	0.0	0.0038373090258432274	0.0	0.23109540636042405	0.9947272358547962	0.9991888055161224	4	49	53	4	26
NORP83_241	3390	22.647787610619467	0.9194690265486726	0.005021713258757332	15	20.59909109893889	0.3538443568693455	0.4392330383480826	0.9999999979347126	0.0	0.0025560330753483518	0.0	0.17846607669616518	0.9912693082605776	0.9979852249832102	3	14	17	3	13
NORP83_242	4814	51.34067303697549	0.9993768176152888	0.002286538569959529	52	10.16481643663873	0.1465182117290751	0.982135438304944	1.0	0.0	0.0023430963018372664	0.0	0.6454092230992937	0.9985194585448391	0.9985194585448391	7	3	10	7	7
NORP83_243	3976	48.523641851106646	0.999496981891348	0.004023782196152514	48	11.716638688181664	0.18583797781898054	0.9806338028169014	1.0	0.0	0.004295329331144182	0.0	0.44693158953722334	0.9935880995126956	0.998461143883047	6	28	34	6	25
NORP83_244	3650	37.72054794520548	0.9972602739726028	0.006014453017336718	41	18.42855853187573	0.30507346493706466	0.7926027397260273	0.9999999999999966	0.0	0.003976198415125642	0.0	0.3315068493150685	0.9847908745247148	0.9975803664016591	7	43	50	7	44
NORP83_245	3833	43.33524654317767	1.0	0.0032809036551240127	47	12.433640272808573	0.2008563415631672	0.924341247064962	1.0	0.0	0.003109977599470959	0.0	0.3477693712496739	0.9977420265311884	0.999435506632797	2	17	19	2	8
NORP83_246	22552	35.904531748847106	0.8009932600212841	0.0033060009779989352	44	21.238749767856746	0.14143146685091595	0.7571833983682157	0.9999999999999829	0.0	0.003690942141096998	0.0	0.29372117772259665	0.9967791051768564	0.9987702037947996	21	92	113	21	55
NORP83_247	8135	30.045482483097725	0.9961893054701906	0.007804779174536147	31	19.183707911386954	0.21270635686313888	0.6443761524277812	0.9999999999969932	0.0	0.005140201043543513	0.0	0.19569760295021515	0.9820679130103014	0.997138496756963	15	94	109	15	94
NORP83_248	3753	45.273381294964025	0.998134825472955	0.0038661802818501507	47	14.084018669359304	0.22992975535675506	0.9211297628563816	1.0	0.0	0.003805194891892461	0.0	0.4103383959499067	0.9930575643621636	0.997685854787388	8	22	30	8	24
NORP83_249	8393	43.09948766829501	0.9992851185511736	0.004940920324935538	47	16.313428676295267	0.17807891909808313	0.8866912903610151	1.0	0.0	0.004091347040181548	0.0	0.4006910520671989	0.9916689062080086	0.998521902714324	11	85	96	11	62
NORP83_25	5300	39.53490566037736	0.999811320754717	0.0041566777270406466	42	14.43125893417003	0.19824729002552607	0.8756603773584906	0.9999999999999992	0.0	0.002779680732718725	0.0	0.26	0.9903038138332256	0.995690583925878	20	36	56	20	45
NORP83_250	4464	45.5459229390681	0.9986559139784946	0.003478816482448299	47	12.359810523356456	0.18501134892809154	0.9646057347670249	1.0	0.0	0.00210298109183793	0.0	0.4133064516129033	0.9948908499767766	0.9972131908964236	12	23	35	12	22
NORP83_251	7155	44.6482180293501	1.0	0.003862215200344132	46	12.266614055009056	0.14502745750197235	0.9619846261355696	1.0	0.0	0.0034221049436125033	0.0	0.3705101327742837	0.9960772918785412	0.9992735725701004	5	40	45	5	27
NORP83_252	7149	48.63001818436146	0.9990208420758148	0.002911980952572057	49	12.18497797953193	0.14412272891782754	0.9728633375297244	1.0	0.0	0.0026128858836925732	0.0	0.4667785704294307	0.998274622573688	0.998705966930266	9	18	27	9	12
NORP83_253	6846	40.455886649138186	1.0	0.0034807052429202123	46	18.484220310631766	0.223416070949486	0.8140520011685656	0.9999999999999996	0.0	0.0031558077668223388	0.0	0.3860648553900088	0.9951552126323344	0.9987439440157904	7	29	36	7	27
NORP83_254	4185	39.86690561529272	0.9985663082437276	0.00541663830300121	44	15.358471418331266	0.2374390554328858	0.8626045400238949	0.9999999999999994	0.0	0.004773889026708057	0.0	0.3440860215053764	0.9894736842105264	0.9966759002770084	12	37	49	12	38
NORP83_255	5668	48.63937896965421	0.9996471418489769	0.003934656610739995	49	9.397882712248435	0.1248399006301188	0.9784756527875794	1.0	0.0	0.0034907776020318693	0.0	0.4878263937896966	0.993508835196538	0.9965741074648397	19	33	52	19	36
NORP83_182	3659	61.83902705657283	0.9920743372506148	0.009000760475635139	62	19.96808184792723	0.33015242958261026	0.9540858157966656	1.0	0.0	0.009964195842092738	0.0	0.7816343263186663	0.9965625895158979	0.9971354912632484	10	64	74	10	12
NORP83_183	3899	25.546037445498854	0.9976917158245704	0.0068265285445303645	24	18.30182450663016	0.29313891041318085	0.5506540138497049	0.9999999998402084	0.0	0.006482201759968276	0.0	0.13977943062323672	0.9827666511411272	0.9948765719608756	11	39	50	11	37
NORP83_184	6625	44.05041509433962	1.0	0.0042136703301401965	46	12.56783051996804	0.1544187930406088	0.9328301886792452	1.0	0.0	0.0034434782692055466	0.0	0.3332830188679245	0.9935275080906149	0.9988673139158576	7	51	58	7	40
NORP83_185	14351	49.36283185840708	1.0	0.0031456607682471827	50	11.303688649403849	0.09436136968793994	0.9704550205560588	1.0	0.0	0.0030295920797812625	0.0	0.5345272106473417	0.9945429740791268	0.9968406692037052	44	59	103	44	76
NORP83_186	14028	45.85757057313944	0.9990732820074136	0.0037688411866844134	47	12.718227452132448	0.10738514035876023	0.9545195323638438	1.0	0.0	0.0034767096590830877	0.0	0.4315654405474765	0.9953696788648244	0.9976101568334578	32	76	108	32	62
NORP83_187	3739	36.598823214763314	0.979138807167692	0.003001022526762709	44	18.490944089607535	0.3024401445210636	0.7635731479005081	0.9999999999999908	0.0	0.0023251846738288067	0.0	0.3260230008023536	0.9901926444833624	0.992644483362522	21	9	30	21	28
NORP83_188	4538	50.12582635522256	0.998457470251212	0.001952572015467502	52	10.799518797034562	0.16033192802101673	0.982150727192596	1.0	0.0	0.0020669710962739622	0.0	0.5791097399735566	0.9993269015032532	0.9997756338344178	1	5	6	1	3
NORP83_189	4052	42.52147087857848	0.9965449160908192	0.005605519123175085	43	11.740459276202982	0.18446074777257548	0.9637216189536032	1.0	0.0	0.006046270293158407	0.0	0.2282823297137216	0.9951344430217671	0.9976952624839948	9	41	50	9	19
NORP83_19	15628	40.84553365753775	0.9993601228564116	0.0048071341873477955	46	17.14432166744987	0.13714579628949305	0.8340158689531609	0.9999999999999998	0.0	0.00329718714692584	0.0	0.3639621192730996	0.9893355838576032	0.9972379929415376	36	124	160	36	139
NORP83_190	3764	46.49256110520722	1.0	0.003973448982696136	49	13.715675849332788	0.2235888300489546	0.9418172157279492	1.0	0.0	0.0037883022236323565	0.0	0.4678533475026567	0.9954866008462624	0.9983074753173484	6	25	31	6	16
NORP83_191	5588	31.1751968503937	0.9994631352899068	0.00549365219933029	36	15.941124465593223	0.21326992538862632	0.7108088761632069	0.9999999999988912	0.0	0.0038095970071437843	0.0	0.09323550465282747	0.9851460221550856	0.994712990936556	21	45	66	21	59
NORP83_192	4233	46.50602409638554	0.9995275218521144	0.003348207224132316	48	10.851401600654498	0.1668065142869859	0.9702338766832034	1.0	0.0	0.004016621149322774	0.0	0.4320812662414363	0.9992695398100804	0.9995130265400536	2	13	15	2	3
NORP83_193	3429	38.971711869349654	0.9020122484689412	0.0045468408494391275	45	17.7132160150438	0.3025359664026947	0.8509769612131817	0.9999999999999988	0.0	0.00459243241731111	0.0	0.3237095363079615	0.9941740918437286	0.996915695681974	9	18	27	9	17
NORP83_194	6853	48.237560192616364	1.0	0.0024154523306230136	49	10.052839038938293	0.12144511536228735	0.9826353421859041	1.0	0.0	0.002655670164280588	0.0	0.481249087990661	0.9986634986634988	0.9997029997029996	2	20	22	2	9
NORP83_195	3128	49.164322250639394	0.9996803069053708	0.0042485761522043095	52	15.044069303743838	0.2690304170076221	0.9494884910485932	1.0	0.0	0.0036259497347663756	0.0	0.5469948849104861	0.9962962962962963	0.9996632996632996	1	20	21	1	11
NORP83_196	3979	40.53556169891933	0.9979894445840664	0.0032226906987181674	41	10.236285095228268	0.1622968100045568	0.9530032671525508	0.9999999999999996	0.0	0.0029153961949996976	0.0	0.16813269665745162	1.0	1.0	0	13	13	0	0
NORP83_197	7022	40.34306465394474	0.9988607234406152	0.00466507434646124	44	15.63418027548772	0.1865845282884334	0.8537453716889775	0.9999999999999996	0.0	0.004536066420663509	0.0	0.2917972087724295	0.9933277731442868	0.9984987489574646	9	55	64	9	40
NORP83_198	3155	24.957527733755946	0.9996830427892236	0.004955268318059368	18	19.300922592076585	0.3436744327063725	0.4862123613312203	0.9999999997313191	0.0	0.002659101576388045	0.0	0.1340729001584786	0.986310299869622	0.9947848761408083	8	15	23	8	21
NORP83_199	6120	42.15032679738562	0.9820261437908496	0.004140509370999745	48	18.280340967998253	0.2336921183840997	0.8256535947712418	1.0	0.0	0.004291173288530348	0.0	0.4498366013071896	0.9958440530377992	0.9974272709281616	13	34	47	13	21
NORP83_2	5519	36.758470737452434	0.999818807755028	0.005779713005214515	42	17.064626960312463	0.2297237784169817	0.7952527631817358	0.9999999999999921	0.0	0.004279837718029311	0.0	0.2678021380684907	0.989291410344042	0.9981772613351558	8	52	60	8	47
NORP83_328	3558	40.831646992692534	0.9994378864530636	0.003496445772302015	44	12.378267921504355	0.20754771002363268	0.920460933108488	0.9999999999999998	0.0	0.003125561558626533	0.0	0.2627880831928049	0.9960305343511452	0.997557251908397	8	14	22	8	13
NORP83_329	4338	39.318579990779156	0.9997694790225912	0.004909042808371567	44	16.525471924474324	0.25093379781252695	0.8183494698017519	0.9999999999999992	0.0	0.003371509283318641	0.0	0.3268787459658829	0.988450704225352	0.9969014084507042	11	37	48	11	41
NORP83_33	3130	41.69904153354633	0.9996805111821088	0.0033982189377488314	45	14.029345068213393	0.2508040907323745	0.8971246006389776	1.0	0.0	0.003942138431457076	0.0	0.3047923322683706	0.9975071225071224	0.998931623931624	3	13	16	3	7
NORP83_330	3871	49.324722293980884	0.999483337638853	0.00352789492541139	50	12.227529742990756	0.1965546150477505	0.9708085765951949	1.0	0.0	0.003773408129211564	0.0	0.5071041074657712	0.9986695050558808	0.9992017030335284	3	8	11	3	5
