# min_read_ani:0.95 max_insert_relative:3 min_insert:50 min_mapq:1 pairing_filter:paired_only
scaffold	pass_pairing_filter	filtered_pairs	unfiltered_reads	unfiltered_priority_reads	mean_insert_distance	mean_PID	mean_mistmaches	pass_min_read_ani	unfiltered_singletons	filtered_priority_reads	pass_min_insert	pass_min_mapq	unfiltered_pairs	mean_pair_length	pass_max_insert	mean_mapq_score	filtered_singletons	median_insert
NORP83_19	3883	3879	8619	0	171.2971928920937	0.9901291929051816	2.1617306206541334	3883.0	853	0	3883.0	3879.0	3883	219.40664434715427	3883.0	38.92660314190059	0	164.0
NORP83_35	929	929	2085	0	168.55220667384285	0.9927062295498216	1.594187298170075	929.0	227	0	929.0	929.0	929	218.73412271259417	929.0	41.3767491926803	0	162.0
NORP83_37	957	955	2122	0	171.62591431556947	0.9878894122108872	2.6562173458725185	957.0	208	0	957.0	955.0	957	219.52978056426326	957.0	39.311389759665616	0	163.0
NORP83_38	1061	1061	2393	0	173.21489161168708	0.9907594982924276	2.0065975494816213	1061.0	271	0	1061.0	1061.0	1061	218.69368520263905	1061.0	40.32610744580585	0	165.0
NORP83_45	865	861	1930	0	173.0763005780347	0.9946134028598144	1.1803468208092485	865.0	200	0	865.0	861.0	865	218.9722543352601	865.0	34.36184971098266	0	164.0
NORP83_34	933	932	2049	0	170.92282958199357	0.994124466660562	1.2915326902465163	933.0	183	0	933.0	932.0	933	219.2625937834941	933.0	41.58092175777063	0	163.0
NORP83_30	1320	1316	2898	0	171.725	0.9894125515768344	2.316666666666667	1320.0	258	0	1320.0	1316.0	1320	219.12803030303033	1320.0	39.97575757575758	0	164.0
NORP83_52	696	696	1683	0	167.30747126436782	0.9897784454385982	2.251436781609196	696.0	291	0	696.0	696.0	696	219.3448275862069	696.0	39.873563218390814	0	158.0
NORP83_36	1551	1551	3328	0	172.1386202450032	0.9956784198636952	0.9548678272082528	1551.0	226	0	1551.0	1551.0	1551	219.69116698903926	1551.0	41.4468085106383	0	164.0
NORP83_39	1143	1140	2745	0	166.99475065616795	0.9864048186489988	2.984251968503937	1143.0	459	0	1143.0	1140.0	1143	218.580927384077	1143.0	35.809273840769904	0	157.0
NORP83_29	2136	2134	4731	0	169.45973782771534	0.9893941013692192	2.3183520599250937	2136.0	459	0	2136.0	2134.0	2136	218.7893258426966	2136.0	38.67883895131086	0	161.5
NORP83_44	832	830	1939	0	169.484375	0.9959531553316712	0.8774038461538461	831.0	275	0	832.0	831.0	832	219.61538461538458	832.0	39.763221153846146	0	164.0
NORP83_31	3220	3220	6993	0	170.2667701863354	0.994362371772272	1.2419254658385093	3220.0	553	0	3220.0	3220.0	3220	220.27422360248448	3220.0	41.51304347826086	0	162.0
NORP83_46	1143	1143	2504	0	170.74628171478562	0.9965796898265962	0.7392825896762905	1143.0	218	0	1143.0	1143.0	1143	219.2930883639545	1143.0	40.89238845144357	0	162.0
NORP83_47	1625	1624	3536	0	173.0283076923077	0.9940562028398952	1.3089230769230769	1625.0	286	0	1625.0	1624.0	1625	219.7243076923077	1625.0	38.64492307692308	0	165.0
NORP83_42	922	922	2019	0	169.92516268980478	0.991936097333902	1.764642082429501	922.0	175	0	922.0	922.0	922	218.67895878524945	922.0	41.33622559652928	0	162.0
NORP83_48	1314	1313	2862	0	174.3835616438356	0.993834283736818	1.360730593607306	1314.0	234	0	1314.0	1313.0	1314	220.0098934550989	1314.0	34.779299847793006	0	167.0
NORP83_51	767	766	1865	0	163.52020860495438	0.9966910507734932	0.7301173402868318	767.0	331	0	767.0	766.0	767	219.52803129074314	767.0	38.74445893089961	0	156.0
NORP83_68	1242	1242	2741	0	168.9355877616747	0.9896560920752006	2.2761674718196456	1242.0	257	0	1242.0	1242.0	1242	219.92431561996776	1242.0	37.880032206119154	0	163.0
NORP83_41	2335	2334	5132	0	173.10535331905785	0.9947163755837566	1.1610278372591007	2335.0	462	0	2335.0	2334.0	2335	219.4933618843683	2335.0	40.979871520342606	0	165.0
NORP83_32	2458	2404	5232	0	172.15581773799838	0.9974341039017344	0.5598047192839707	2458.0	316	0	2458.0	2405.0	2458	219.4646053702197	2457.0	35.49430431244915	0	164.5
NORP83_54	908	908	2007	0	168.56057268722466	0.9951850552164389	1.0462555066079295	908.0	191	0	908.0	908.0	908	217.69052863436127	908.0	41.17290748898679	0	161.0
NORP83_70	848	847	1872	0	171.64150943396226	0.9957516137261798	0.9257075471698112	848.0	176	0	848.0	847.0	848	218.81721698113208	848.0	40.529481132075475	0	165.0
NORP83_20	3135	2789	6754	0	172.89824561403512	0.995814720301771	0.9183413078149921	3135.0	484	0	3135.0	2789.0	3135	219.45645933014356	3135.0	32.76969696969697	0	165.0
NORP83_83	802	802	1875	0	171.14588528678306	0.9904388079935564	2.083541147132169	802.0	271	0	802.0	802.0	802	218.76807980049873	802.0	39.746882793017456	0	162.5
NORP83_60	1293	1293	2903	0	171.15003866976025	0.9929175549147998	1.5328692962103634	1293.0	317	0	1293.0	1293.0	1293	217.45630317092036	1293.0	40.39288476411446	0	162.0
NORP83_58	866	865	1998	0	174.32101616628174	0.9921920682401876	1.6963048498845266	866.0	266	0	866.0	865.0	866	217.89607390300233	866.0	41.235565819861435	0	166.0
NORP83_55	971	971	2120	0	171.22863027806386	0.9909667069304176	2.0	971.0	178	0	971.0	971.0	971	219.2255406797116	971.0	41.53553038105047	0	163.0
NORP83_40	3793	3793	8286	0	173.8278407592934	0.9929626720382378	1.5444239388346954	3793.0	700	0	3793.0	3793.0	3793	219.27023464276297	3793.0	41.47693118903243	0	165.0
NORP83_59	1032	1032	2295	0	173.7906976744186	0.9976885852172841	0.5116279069767442	1032.0	231	0	1032.0	1032.0	1032	220.51550387596902	1032.0	41.58624031007752	0	166.5
NORP83_57	842	841	1893	0	168.36104513064134	0.9957419251146318	0.9275534441805224	842.0	209	0	842.0	841.0	842	218.12232779097388	842.0	41.350356294536816	0	159.0
NORP83_61	1893	1891	4160	0	173.79239302694137	0.9921048539522588	1.7274167987321711	1892.0	374	0	1893.0	1892.0	1893	219.203380876915	1893.0	39.38034865293186	0	165.0
NORP83_63	2087	2087	4504	0	172.50119789171058	0.993573665379933	1.4144705318639197	2087.0	330	0	2087.0	2087.0	2087	219.70531863919499	2087.0	39.12218495448011	0	163.0
NORP83_69	2818	2817	6122	0	172.56281050390348	0.9919762383142112	1.7647267565649396	2818.0	486	0	2818.0	2817.0	2818	219.97728885734563	2818.0	41.38360539389638	0	165.0
NORP83_43	1955	1954	4266	0	170.83682864450128	0.9944312817337684	1.2225063938618923	1955.0	356	0	1955.0	1954.0	1955	219.70025575447568	1955.0	40.77493606138108	0	163.0
NORP83_56	3791	3787	8167	0	172.8704827222369	0.9944341667832458	1.2186758111316276	3791.0	585	0	3791.0	3788.0	3791	219.1276707992614	3790.0	39.961751516750205	0	164.0
NORP83_82	1011	1011	2161	0	167.63303659742832	0.9941554362069724	1.281899109792285	1011.0	139	0	1011.0	1011.0	1011	219.7378832838773	1011.0	36.30168150346192	0	160.0
NORP83_62	1082	1082	2407	0	173.26987060998152	0.992910697127108	1.5471349353049908	1082.0	243	0	1082.0	1082.0	1082	218.59889094269872	1082.0	41.20055452865065	0	164.0
NORP83_74	485	483	1218	0	166.7917525773196	0.9885835389272604	2.445360824742268	485.0	248	0	485.0	483.0	485	217.53195876288657	485.0	37.265979381443294	0	157.0
NORP83_50	1296	1295	2793	0	169.1304012345679	0.994515647629064	1.2021604938271604	1296.0	201	0	1296.0	1296.0	1296	219.20524691358025	1295.0	40.6195987654321	0	161.5
NORP83_64	1830	1830	4100	0	171.21038251366122	0.9933286070016604	1.4584699453551913	1830.0	440	0	1830.0	1830.0	1830	218.6224043715847	1830.0	40.57431693989071	0	164.0
NORP83_49	1533	1533	3377	0	170.63209393346384	0.9972199658214712	0.6138290932811481	1533.0	311	0	1533.0	1533.0	1533	219.4227005870841	1533.0	41.23744292237443	0	163.0
NORP83_72	3346	3345	7423	0	173.181111775254	0.9968230793466736	0.6954572624028691	3346.0	731	0	3346.0	3345.0	3346	220.1939629408249	3346.0	41.63837417812313	0	165.0
NORP83_93	1206	1151	2703	0	173.19237147595356	0.9929106486497238	1.5514096185737978	1206.0	291	0	1206.0	1151.0	1206	219.14013266998344	1206.0	31.902155887230517	0	163.0
NORP83_66	807	807	1829	0	172.18091697645602	0.9926289150837736	1.62453531598513	807.0	215	0	807.0	807.0	807	219.66047087980166	807.0	40.47459727385378	0	165.0
NORP83_65	843	843	1825	0	173.94187425860022	0.9941314122339412	1.295373665480427	843.0	139	0	843.0	843.0	843	219.97746144721236	843.0	41.91103202846975	0	166.0
NORP83_71	1117	1117	2429	0	173.5872873769024	0.9915312038066341	1.8621307072515667	1117.0	195	0	1117.0	1117.0	1117	219.6401074306177	1117.0	41.21665174574754	0	166.0
NORP83_77	1245	1245	2778	0	170.24658634538153	0.9916408896762046	1.8361445783132533	1245.0	288	0	1245.0	1245.0	1245	219.54618473895584	1245.0	40.249799196787144	0	162.0
NORP83_85	1385	1384	3168	0	171.2057761732852	0.9905279078620524	2.07942238267148	1385.0	398	0	1385.0	1384.0	1385	218.87581227436826	1385.0	37.51768953068592	0	163.0
NORP83_76	5420	5417	11636	0	173.6064575645756	0.9933099112900624	1.4643911439114392	5420.0	796	0	5420.0	5417.0	5420	219.36789667896682	5420.0	39.85848708487085	0	165.0
NORP83_73	1298	1297	2756	0	169.54391371340526	0.9913361198530134	1.911402157164869	1298.0	160	0	1298.0	1297.0	1298	219.59167950693376	1298.0	35.64946070878275	0	161.0
NORP83_98	2833	2830	6265	0	172.81821390751853	0.9922717431340567	1.6907871514295802	2833.0	599	0	2833.0	2830.0	2833	219.5019414048712	2833.0	39.802329685845386	0	164.0
NORP83_87	3613	3598	7700	0	172.95737614171048	0.9953756267163141	1.015222806531968	3613.0	474	0	3613.0	3598.0	3613	219.37199003598118	3613.0	40.238859673401606	0	165.0
NORP83_103	1216	1212	2571	0	174.75575657894737	0.995114812568388	1.0657894736842106	1216.0	139	0	1216.0	1212.0	1216	219.6455592105264	1216.0	36.807565789473685	0	166.0
NORP83_91	3236	3232	7009	0	172.31829419035847	0.9943985303218964	1.2246600741656366	3234.0	537	0	3236.0	3233.0	3236	219.43695920889988	3236.0	40.4527194066749	0	164.5
NORP83_79	1677	1675	3634	0	169.33214072748956	0.9954864475089386	0.9898628503279666	1677.0	280	0	1677.0	1675.0	1677	219.2093023255814	1677.0	40.78533094812165	0	162.0
NORP83_84	1482	1481	3296	0	169.9062078272605	0.9926697652763716	1.607962213225371	1482.0	332	0	1482.0	1481.0	1482	219.90823211875843	1482.0	41.31241565452092	0	162.0
NORP83_88	363	361	1039	0	166.4986225895317	0.9834510151562672	3.5785123966942147	361.0	313	0	363.0	363.0	363	217.92561983471074	363.0	38.49862258953168	0	159.0
NORP83_75	770	769	1710	0	169.73246753246752	0.9916977096093208	1.807792207792208	770.0	170	0	770.0	769.0	770	217.9805194805195	770.0	39.94285714285714	0	163.0
NORP83_89	4325	4324	9426	0	171.8950289017341	0.9936067182294516	1.4013872832369942	4325.0	776	0	4325.0	4324.0	4325	219.56254335260115	4325.0	41.59930635838151	0	165.0
NORP83_109	1011	1010	2332	0	168.11473788328388	0.9932199359615174	1.4846686449060336	1011.0	310	0	1011.0	1010.0	1011	219.15825914935704	1011.0	39.209693372898116	0	161.0
NORP83_67	4867	4863	10469	0	172.00431477296073	0.9957198085779384	0.9371275940004108	4867.0	735	0	4867.0	4863.0	4867	219.29422642284771	4867.0	37.723649065132534	0	164.0
NORP83_53	7861	7858	16895	0	173.0362549293983	0.9953871355252301	1.0081414578297927	7861.0	1173	0	7861.0	7858.0	7861	219.14565576898613	7861.0	40.612517491413314	0	164.0
NORP83_81	812	812	1752	0	172.58251231527095	0.9957605414010215	0.9347290640394088	812.0	128	0	812.0	812.0	812	219.77463054187191	812.0	41.46182266009853	0	162.0
NORP83_105	1439	1415	3117	0	170.82696316886728	0.9947798226725848	1.1459346768589298	1439.0	239	0	1439.0	1416.0	1439	219.36136205698398	1438.0	39.71299513551077	0	163.0
NORP83_92	661	659	1548	0	173.6807866868381	0.9932629361670438	1.4810892586989408	661.0	226	0	661.0	659.0	661	219.55521936459908	661.0	40.127080181543114	0	164.0
NORP83_80	1343	1343	2918	0	174.30677587490692	0.9938940880910498	1.3395383469843634	1343.0	232	0	1343.0	1343.0	1343	219.71183916604613	1343.0	41.28443782576322	0	166.0
NORP83_78	1685	1684	3712	0	171.8545994065282	0.9936850924832908	1.3738872403560831	1685.0	342	0	1685.0	1684.0	1685	218.54540059347178	1685.0	39.52878338278932	0	163.0
NORP83_120	849	849	1923	0	170.30270906949352	0.994414441439891	1.2367491166077738	849.0	225	0	849.0	849.0	849	220.79505300353358	849.0	40.99057714958775	0	162.0
NORP83_104	3407	3405	7339	0	172.7936601115351	0.9953554254369146	1.0228940416788963	3407.0	525	0	3407.0	3407.0	3407	220.5585559142941	3405.0	41.44115057235104	0	164.0
NORP83_118	718	717	1765	0	169.48189415041782	0.9868684763201104	2.888579387186629	717.0	329	0	718.0	718.0	718	218.66852367688026	718.0	39.022284122562674	0	159.0
NORP83_129	1622	1619	3521	0	173.50123304562268	0.99478263613967	1.1418002466091246	1622.0	277	0	1622.0	1619.0	1622	219.40690505548702	1622.0	41.18988902589396	0	167.0
NORP83_90	3841	3840	8434	0	172.32283259567822	0.9947677039558636	1.1499609476698776	3840.0	752	0	3841.0	3841.0	3841	219.4608174954439	3841.0	39.5097630825306	0	164.0
NORP83_112	890	890	2049	0	169.25280898876406	0.9944589930111316	1.2101123595505618	890.0	269	0	890.0	890.0	890	219.03483146067418	890.0	40.69101123595506	0	161.0
NORP83_121	923	923	1998	0	171.01733477789816	0.9960838787502246	0.8645720476706392	923.0	152	0	923.0	923.0	923	219.45287107258937	923.0	40.78114842903575	0	164.0
NORP83_100	3023	3021	6655	0	173.0780681442276	0.9909351195296908	1.9857757194839565	3021.0	609	0	3023.0	3023.0	3023	219.47734039034074	3023.0	39.00628514720478	0	163.0
NORP83_95	994	994	2262	0	171.73138832997992	0.9881217880632476	2.592555331991952	994.0	274	0	994.0	994.0	994	219.14688128772642	994.0	40.080482897384314	0	160.0
NORP83_86	721	720	1659	0	166.4327323162275	0.9831684385399404	3.6837725381414703	721.0	217	0	721.0	720.0	721	219.37447988904302	721.0	38.617198335644936	0	160.0
NORP83_127	880	879	2029	0	171.28863636363639	0.985654171628148	3.1420454545454546	880.0	269	0	880.0	879.0	880	218.24090909090907	880.0	38.96136363636364	0	163.5
NORP83_94	1127	1127	2490	0	166.04880212954745	0.998057074375584	0.4241348713398403	1127.0	236	0	1127.0	1127.0	1127	218.97160603371785	1127.0	41.90771960958296	0	157.0
NORP83_117	1911	1909	4224	0	172.65620094191522	0.9924185968174808	1.6703296703296704	1911.0	402	0	1911.0	1909.0	1911	219.42804814233384	1911.0	40.400837257980115	0	164.0
NORP83_115	2162	2162	4678	0	174.24884366327476	0.9951887125659742	1.062904717853839	2162.0	354	0	2162.0	2162.0	2162	220.79740980573544	2162.0	41.46345975948197	0	166.0
NORP83_132	1227	1227	2703	0	171.61369193154033	0.9931292222423644	1.4963325183374083	1227.0	249	0	1227.0	1227.0	1227	218.89894050529747	1227.0	39.73757131214344	0	164.0
NORP83_124	3244	3244	7067	0	173.3224414303329	0.9931835812760886	1.4975339087546242	3244.0	579	0	3244.0	3244.0	3244	219.31288532675708	3244.0	41.27681874229345	0	166.0
NORP83_97	3534	3531	7629	0	172.95840407470288	0.9940684282565396	1.301358234295416	3534.0	561	0	3534.0	3531.0	3534	219.55206564799096	3534.0	40.38200339558574	0	164.0
NORP83_102	1411	1410	3277	0	170.44365698086463	0.9863344029528416	2.9992912827781715	1411.0	455	0	1411.0	1410.0	1411	219.6194188518781	1411.0	39.70942593905032	0	162.0
NORP83_99	1041	983	2262	0	172.18539865513932	0.9878120152140764	2.677233429394813	1041.0	180	0	1041.0	983.0	1041	219.49183477425552	1041.0	33.866474543707966	0	161.0
NORP83_96	1273	1271	2820	0	171.4179104477612	0.9927312787578124	1.6001571091908875	1273.0	274	0	1273.0	1271.0	1273	218.92144540455612	1273.0	40.739198743126465	0	163.0
NORP83_138	985	984	2353	0	169.68730964467002	0.989491195579566	2.286294416243655	984.0	383	0	985.0	985.0	985	218.0253807106599	985.0	39.758375634517776	0	163.0
NORP83_116	843	842	1944	0	167.86358244365363	0.9888127238177908	2.4460260972716488	842.0	258	0	843.0	843.0	843	219.53262158956107	843.0	39.73902728351127	0	160.0
NORP83_125	923	923	1997	0	173.08342361863492	0.990779965431176	2.031419284940412	923.0	151	0	923.0	923.0	923	217.82448537378122	923.0	38.304442036836406	0	168.0
NORP83_150	1578	1575	3735	0	167.64448669201522	0.990434108756924	2.075411913814956	1577.0	579	0	1578.0	1578.0	1578	218.65906210392902	1576.0	40.169201520912544	0	160.0
NORP83_143	945	940	2235	0	172.84021164021163	0.9919427747861388	1.7640211640211643	944.0	345	0	945.0	940.0	945	219.1132275132275	945.0	35.726984126984135	0	162.0
NORP83_119	1597	1597	3421	0	173.23481527864746	0.9945652273813768	1.1966186599874766	1597.0	227	0	1597.0	1597.0	1597	219.47463994990608	1597.0	41.53788353162179	0	165.0
NORP83_147	1083	1082	2547	0	168.85410895660203	0.9844961406666188	3.398891966759003	1083.0	381	0	1083.0	1083.0	1083	219.43120960295482	1082.0	39.45244690674053	0	161.0
NORP83_101	5441	5440	11850	0	172.16651350854622	0.993939040536068	1.3346811247932366	5441.0	968	0	5441.0	5440.0	5441	220.09759235434663	5441.0	40.13067450836243	0	165.0
NORP83_154	1047	1047	2408	0	174.37822349570203	0.9939234816316139	1.3438395415472781	1047.0	314	0	1047.0	1047.0	1047	220.62368672397326	1047.0	41.593123209169065	0	165.0
NORP83_141	1606	1606	3450	0	174.5585305105853	0.9962945214578434	0.8150684931506851	1606.0	238	0	1606.0	1606.0	1606	219.76400996264007	1606.0	41.942714819427145	0	166.0
NORP83_108	2106	2104	4534	0	173.80959164292497	0.9934826297572732	1.4264007597340929	2106.0	322	0	2106.0	2104.0	2106	218.7863247863248	2106.0	39.487179487179496	0	165.5
NORP83_135	1390	1390	2996	0	172.18273381294964	0.9923653256324528	1.679136690647482	1390.0	216	0	1390.0	1390.0	1390	219.6848920863309	1390.0	40.889208633093524	0	163.5
NORP83_140	1684	1684	3710	0	172.84857482185276	0.9924851996720988	1.6502375296912113	1684.0	342	0	1684.0	1684.0	1684	219.80285035629453	1684.0	40.82897862232779	0	164.0
NORP83_151	1748	1744	3880	0	170.31578947368422	0.99190389524739	1.7711670480549198	1748.0	384	0	1748.0	1745.0	1748	219.23684210526315	1747.0	39.965102974828376	0	162.0
NORP83_131	1508	1508	3252	0	171.8600795755968	0.9955055161357148	0.986737400530504	1508.0	236	0	1508.0	1508.0	1508	219.61140583554374	1508.0	40.777851458885934	0	166.0
NORP83_163	2717	2716	5949	0	172.58925285241074	0.996130342232114	0.8524107471475892	2716.0	515	0	2717.0	2717.0	2717	219.1947000368053	2717.0	41.46117040853883	0	164.0
NORP83_107	879	879	1960	0	172.40500568828213	0.9933980624018468	1.4505119453924915	879.0	202	0	879.0	879.0	879	219.98748577929462	879.0	40.88623435722412	0	162.0
NORP83_111	2308	2308	4970	0	171.63214904679376	0.9960476873022476	0.8648180242634316	2308.0	354	0	2308.0	2308.0	2308	218.0324956672444	2308.0	41.44020797227037	0	164.0
NORP83_170	6305	6301	13603	0	173.21300555114988	0.9970900830789262	0.6366375892149088	6304.0	993	0	6305.0	6303.0	6305	219.48263283108642	6304.0	40.85424266455193	0	164.0
NORP83_157	684	681	1579	0	169.3684210526316	0.9906511844838486	2.0394736842105257	684.0	211	0	684.0	681.0	684	219.0891812865497	684.0	39.24707602339181	0	162.0
NORP83_126	853	845	1855	0	176.84290738569752	0.9965351384607696	0.7620164126611958	852.0	149	0	853.0	845.0	853	220.49237983587338	853.0	34.85111371629543	0	166.0
NORP83_128	915	912	2060	0	173.7704918032787	0.9919839817385137	1.7584699453551913	915.0	230	0	915.0	912.0	915	218.9092896174864	915.0	40.13114754098361	0	166.0
NORP83_133	7683	7681	16731	0	173.1840426916569	0.991473593591872	1.8685409345307824	7682.0	1365	0	7683.0	7681.0	7683	219.4271768840297	7683.0	40.343485617597295	0	165.0
NORP83_175	1563	1558	3350	0	172.80230326295586	0.9929324970189808	1.5559820857325657	1563.0	224	0	1563.0	1558.0	1563	219.2373640435061	1563.0	39.674344209852855	0	165.0
NORP83_106	2144	2131	4766	0	171.17350746268656	0.991274681678275	1.9118470149253728	2144.0	478	0	2144.0	2131.0	2144	219.5275186567164	2144.0	38.00046641791045	0	163.0
NORP83_158	2666	2666	5914	0	173.15491372843212	0.9937815707794404	1.3660915228807202	2666.0	582	0	2666.0	2666.0	2666	219.40960240060016	2666.0	40.53413353338335	0	164.0
NORP83_136	1426	1422	3911	0	166.29663394109397	0.977632804161534	4.891304347826087	1424.0	1059	0	1426.0	1424.0	1426	219.10238429172512	1426.0	34.5273492286115	0	158.0
NORP83_142	2626	2625	5996	0	170.83929931454685	0.987851867578679	2.661081492764661	2625.0	744	0	2626.0	2626.0	2626	219.17593297791316	2626.0	40.49504950495049	0	161.0
NORP83_122	1041	1041	2300	0	170.7281460134486	0.9865238938881452	2.9615754082612877	1041.0	218	0	1041.0	1041.0	1041	220.20557156580207	1041.0	40.50336215177714	0	164.0
NORP83_159	1477	1475	3297	0	172.70006770480703	0.9941872615957692	1.2708192281651998	1477.0	343	0	1477.0	1475.0	1477	219.06025727826682	1477.0	38.97833446174678	0	165.0
NORP83_166	2572	2572	5603	0	170.9739502332815	0.9938430978197008	1.3506998444790046	2572.0	459	0	2572.0	2572.0	2572	219.50933125972008	2572.0	41.613530326594095	0	163.0
NORP83_162	748	745	1729	0	166.1216577540107	0.9893363481304348	2.322192513368984	747.0	233	0	748.0	746.0	748	218.605614973262	748.0	38.532085561497325	0	160.0
NORP83_152	3334	3333	7151	0	173.91961607678462	0.9973769469845688	0.5740851829634073	3334.0	483	0	3334.0	3334.0	3334	219.48200359928012	3333.0	41.266046790641866	0	167.0
NORP83_148	783	782	1840	0	169.60919540229884	0.9936507253471658	1.3780332056194124	783.0	274	0	783.0	782.0	783	217.73180076628356	783.0	38.11238825031929	0	161.0
