gene_callers_id	source	accession	function	e_value
24	COG20_FUNCTION	COG0683	ABC-type branched-chain amino acid transport system, periplasmic component (LivK) (PDB:1USG)	6.4e-145
25	COG20_FUNCTION	COG2050	Acyl-CoA thioesterase PaaI, contains HGG motif (PaaI) (PDB:1PSU)	3.3e-43
26	COG20_FUNCTION	COG0483	Archaeal fructose-1,6-bisphosphatase or related enzyme, inositol monophosphatase family (SuhB) (PDB:1AWB)	1.8e-55
27	COG20_FUNCTION	COG1609	DNA-binding transcriptional regulator, LacI/PurR family (PurR) (PDB:1BDH)	8.1e-96
28	COG20_FUNCTION	COG0584	Glycerophosphoryl diester phosphodiesterase (UgpQ) (PDB:1O1Z)	5.7e-27
29	COG20_FUNCTION	COG4530	Uncharacterized conserved protein (PUBMED:19495416)	6.2e-09
30	COG20_FUNCTION	COG2841	Uncharacterized conserved protein YdcH, DUF465 family (YdcH) (PDB:1ZHC)	1.8e-09
32	COG20_FUNCTION	COG2326	Polyphosphate kinase 2, PPK2 family (PPK2) (PDB:3CZP)	1.8e-113
33	COG20_FUNCTION	COG0840	Methyl-accepting chemotaxis protein (MCP) (Tar) (PDB:1QU7)	2.8e-41
34	COG20_FUNCTION	COG1024!!!COG1250	Enoyl-CoA hydratase/carnithine racemase (CaiD) (PDB:1DCI)!!!3-hydroxyacyl-CoA dehydrogenase (FadB) (PDB:5ZQZ)	2.8e-197
35	COG20_FUNCTION	COG2070	NAD(P)H-dependent flavin oxidoreductase YrpB, nitropropane dioxygenase family (YrpB)	2.9e-117
36	COG20_FUNCTION	COG1024	Enoyl-CoA hydratase/carnithine racemase (CaiD) (PDB:1DCI)	3.3e-54
37	COG20_FUNCTION	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB (CaiA) (PDB:1BUC)	1.9e-147
38	COG20_FUNCTION	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB (CaiA) (PDB:1BUC)	2.3e-99
39	COG20_FUNCTION	COG2086	Electron transfer flavoprotein, alpha and beta subunits (FixA) (PDB:5OL2)	5.1e-95
40	COG20_FUNCTION	COG2025	Electron transfer flavoprotein, alpha subunit FixB (FixB) (PDB:1EFP)	2.5e-99
41	COG20_FUNCTION	COG1960	Acyl-CoA dehydrogenase related to the alkylation response protein AidB (CaiA) (PDB:1BUC)	7e-187
42	COG20_FUNCTION	COG2131	Deoxycytidylate deaminase (ComEB) (PDB:2HVV) (PUBMED:25746996;31954084)	2e-52
43	COG20_FUNCTION	COG1079	ABC-type guanosine uptake system NupNOPQ, permease subunit NupQ (NupQ) (PUBMED:21926227)	2.9e-36
44	COG20_FUNCTION	COG4603	ABC-type guanosine uptake system NupNOPQ, permease component NupP (NupP) (PUBMED:21926227)	4e-37
45	COG20_FUNCTION	COG3845	ABC-type guanosine uptake system NupNOPQ, ATPase component NupO (NupO) (PUBMED:21926227)	2.6e-85
46	COG20_FUNCTION	COG1744	Lipoprotein Med, regulator of KinD/Spo0A, PBP1-ABC superfamily, includes NupN (Med) (PDB:2FQW) (PUBMED:21622736)	5.3e-21
48	COG20_FUNCTION	COG2303	Choline dehydrogenase or related flavoprotein (BetA) (PDB:1B4V)	7.1e-142
49	COG20_FUNCTION	COG0692	Uracil-DNA glycosylase (Ung) (PDB:1AKZ) (PUBMED:16237021)	2.8e-17
50	COG20_FUNCTION	COG1309	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)	4.4e-31
51	COG20_FUNCTION	COG5499	Antitoxin component HigA of the HigAB toxin-antitoxin module, contains an N-terminal HTH domain (HigA)	5.5e-11
53	COG20_FUNCTION	COG1309	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)	1.9e-22
55	COG20_FUNCTION	COG3038	Cytochrome b561 (CybB) (PDB:5OC0)	1.3e-20
56	COG20_FUNCTION	COG1010!!!COG2073	Precorrin-3B methylase (CobJ) (PDB:2ZVB)!!!Cobalamin biosynthesis protein CbiG (CbiG)	6.9e-92
57	COG20_FUNCTION	COG2243	Precorrin-2 methylase (CobF) (PDB:2QBU)	2.5e-48
58	COG20_FUNCTION	COG2241!!!COG2242	Precorrin-6B methylase 1 (CobL)!!!Precorrin-6B methylase 2 (CobL) (PDB:1F38)	3.3e-86
59	COG20_FUNCTION	COG2082	Precorrin-8X methylmutase CbiC/CobH (CobH) (PDB:1F2V)	4.7e-65
60	COG20_FUNCTION	COG2138	Sirohydrochlorin ferrochelatase (SirB) (PDB:1TJN)	4.2e-111
61	COG20_FUNCTION	COG3837	Uncharacterized conserved protein, cupin superfamily	3.5e-44
62	COG20_FUNCTION	COG2099	Precorrin-6x reductase (CobK) (PDB:4X7G)	5.2e-13
63	COG20_FUNCTION	COG1905	NADH:ubiquinone oxidoreductase 24 kD subunit (chain E) (NuoE) (PDB:5XF9)	1.7e-36
64	COG20_FUNCTION	COG0649	NADH:ubiquinone oxidoreductase 49 kD subunit (chain D) (NuoD) (PDB:2FUG)	4.1e-187
65	COG20_FUNCTION	COG0852	NADH:ubiquinone oxidoreductase 27 kD subunit (chain C) (NuoC)	1.8e-77
66	COG20_FUNCTION	COG0377	NADH:ubiquinone oxidoreductase 20 kD subunit (chain B) or related Fe-S oxidoreductase (NuoB) (PDB:2FUG) (PUBMED:25941396)	2.7e-88
67	COG20_FUNCTION	COG0838	NADH:ubiquinone oxidoreductase subunit 3 (chain A) (NuoA) (PDB:3RKO)	8e-41
68	COG20_FUNCTION	COG0776	Bacterial nucleoid DNA-binding protein IHF-alpha (HimA) (PDB:1B8Z)	8.9e-29
69	COG20_FUNCTION	COG0466	ATP-dependent Lon protease, bacterial type (Lon) (PDB:6ON2)	4.1e-287
70	COG20_FUNCTION	COG1219	ATP-dependent protease Clp, ATPase subunit ClpX (ClpX) (PDB:3HTE)	2.8e-202
71	COG20_FUNCTION	COG0740	ATP-dependent protease ClpP, protease subunit (ClpP) (PDB:1TG6)	1e-80
72	COG20_FUNCTION	COG0544	FKBP-type peptidyl-prolyl cis-trans isomerase (trigger factor) (Tig) (PDB:5OWI)	6.8e-125
74	COG20_FUNCTION	COG0583	DNA-binding transcriptional regulator, LysR family (LysR) (PDB:2FYI)	1.9e-62
75	COG20_FUNCTION	COG0624	Acetylornithine deacetylase/Succinyl-diaminopimelate desuccinylase or related deacylase (ArgE) (PDB:1CG2)	3.4e-98
76	COG20_FUNCTION	COG0747	ABC-type transport system, periplasmic component (DdpA) (PDB:3RQT)	1.7e-180
77	COG20_FUNCTION	COG0601	ABC-type dipeptide/oligopeptide/nickel transport system, permease component (DppB)	4.2e-121
78	COG20_FUNCTION	COG1173	ABC-type dipeptide/oligopeptide/nickel transport system, permease component (DppC)	1.6e-114
79	COG20_FUNCTION	COG1123	ABC-type glutathione transport system ATPase component, contains duplicated ATPase domain (GsiA)	2.6e-219
80	COG20_FUNCTION	COG1228	Imidazolonepropionase or related amidohydrolase (HutI) (PDB:3OOQ)	2.3e-114
81	COG20_FUNCTION	COG0840	Methyl-accepting chemotaxis protein (MCP) (Tar) (PDB:1QU7)	1.7e-46
82	COG20_FUNCTION	COG0283	Cytidylate kinase (Cmk) (PDB:3R20) (PUBMED:19111750;25691594;28928205)	2.1e-41
83	COG20_FUNCTION	COG0539	Ribosomal protein S1 (RpsA) (PDB:4NNH)	1.3e-239
86	COG20_FUNCTION	COG3613	Nucleoside 2-deoxyribosyltransferase (RCL) (PDB:1F8X)	1.2e-07
87	COG20_FUNCTION	COG0346	Catechol 2,3-dioxygenase or related enzyme, vicinal oxygen chelate (VOC) family (GloA) (PDB:3R4Q) (PUBMED:11830595)	1.4e-65
88	COG20_FUNCTION	COG1120	ABC-type cobalamin/Fe3+-siderophores transport system, ATPase component (FepC) (PDB:2NQ2)	3.2e-71
89	COG20_FUNCTION	COG0609	ABC-type Fe3+-siderophore transport system, permease component (FepD) (PDB:2NQ2)	4.1e-98
90	COG20_FUNCTION	COG0609	ABC-type Fe3+-siderophore transport system, permease component (FepD) (PDB:2NQ2)	5.5e-97
91	COG20_FUNCTION	COG4594	ABC-type Fe3+-citrate transport system, periplasmic component (FecB)	1.7e-95
92	COG20_FUNCTION	COG0475!!!COG1226	Kef-type K+ transport system, membrane component KefB (KefB) (PDB:4BWZ)!!!Voltage-gated potassium channel Kch (Kch) (PDB:3FWZ)	2.9e-114
94	COG20_FUNCTION	COG1396	Transcriptional regulator, contains XRE-family HTH domain (HipB) (PDB:1ADR)	1.1e-31
95	COG20_FUNCTION	COG2184	Fido, protein-threonine AMPylation domain (FIDO) (PDB:2F6S) (PUBMED:19503829)	4.5e-46
96	COG20_FUNCTION	COG0288	Carbonic anhydrase (CynT) (PDB:1EKJ) (PUBMED:22081392)	1.5e-24
97	COG20_FUNCTION	COG0702	Uncharacterized conserved protein YbjT, contains NAD(P)-binding and DUF2867 domains (YbjT) (PDB:5L3Z)	6.7e-112
98	COG20_FUNCTION	COG1309	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)	1.5e-25
99	COG20_FUNCTION	COG1028	NAD(P)-dependent dehydrogenase, short-chain alcohol dehydrogenase family (FabG) (PDB:6L1H)	1.4e-60
100	COG20_FUNCTION	COG4188	Predicted dienelactone hydrolase	5.6e-118
101	COG20_FUNCTION	COG1309	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)	2.2e-64
102	COG20_FUNCTION	COG1309	DNA-binding protein, AcrR family, includes nucleoid occlusion protein SlmA (AcrR) (PDB:2QOP)	8.1e-32
103	COG20_FUNCTION	COG2226	Ubiquinone/menaquinone biosynthesis C-methylase UbiE/MenG (UbiE) (PDB:4OBW)	1.3e-81
104	COG20_FUNCTION	COG0492	Thioredoxin reductase (TrxB) (PDB:3FBS)	9.2e-33
105	COG20_FUNCTION	COG0492	Thioredoxin reductase (TrxB) (PDB:3FBS)	2.3e-23
107	COG20_FUNCTION	COG1959	DNA-binding transcriptional regulator, IscR family (IscR) (PDB:1XD7)	2e-06
109	COG20_FUNCTION	COG3181	Tripartite-type tricarboxylate transporter, extracytoplasmic receptor component TctC (TctC) (PDB:2DVZ)	2.9e-122
111	COG20_FUNCTION	COG3333	TctA family transporter (PUBMED:14499931)	4.7e-212
112	COG20_FUNCTION	COG0642	Signal transduction histidine kinase (BaeS) (PDB:1JOY)	1.3e-86
113	COG20_FUNCTION	COG0372	Citrate synthase (GltA) (PDB:3TQG) (PUBMED:25211225)	2.5e-105
114	COG20_FUNCTION	COG1804	Crotonobetainyl-CoA:carnitine CoA-transferase CaiB and related acyl-CoA transferases (CaiB) (PDB:1P5H)	1.3e-140
116	COG20_FUNCTION	COG4870	Cysteine protease, C1A family (PDB:1AEC)	1.9e-29
117	COG20_FUNCTION	COG2917	Intracellular septation protein A (YciB)	4.1e-13
118	COG20_FUNCTION	COG0552	Signal recognition particle GTPase FtsY (FtsY) (PDB:4AK9)	1.3e-107
119	COG20_FUNCTION	COG0621	tRNA A37 methylthiotransferase MiaB (MiaB) (PDB:4JC0) (PUBMED:17407324;20472640;20584901)	1.7e-154
120	COG20_FUNCTION	COG0253	Diaminopimelate epimerase (DapF) (PDB:1BWZ)	2.9e-79
121	COG20_FUNCTION	COG0438	Glycosyltransferase involved in cell wall bisynthesis (RfaB) (PDB:2IV7)	8.2e-93
122	COG20_FUNCTION	COG2207	AraC-type DNA-binding domain and AraC-containing proteins (AraC) (PDB:1BL0)	3.6e-64
123	COG20_FUNCTION	COG1225	Peroxiredoxin (Bcp) (PDB:5IPH)	6.7e-73
124	COG20_FUNCTION	COG2207	AraC-type DNA-binding domain and AraC-containing proteins (AraC) (PDB:1BL0)	4.7e-63
125	COG20_FUNCTION	COG3839	ABC-type sugar transport system, ATPase component MalK (MalK) (PDB:2ONK)	2.4e-106
126	COG20_FUNCTION	COG1063	Threonine dehydrogenase or related Zn-dependent dehydrogenase (Tdh) (PDB:4A2C)	1.7e-136
127	COG20_FUNCTION	COG0395	ABC-type glycerol-3-phosphate transport system, permease component (UgpE) (PDB:1VR4)	1.5e-87
128	COG20_FUNCTION	COG1175	ABC-type sugar transport system, permease component (UgpA) (PDB:3FH6)	3e-14
129	COG20_FUNCTION	COG0840	Methyl-accepting chemotaxis protein (MCP) (Tar) (PDB:1QU7)	2.2e-55
131	COG20_FUNCTION	COG3142	Copper homeostasis protein CutC (CutC) (PDB:1TWD)	2.1e-61
132	COG20_FUNCTION	COG1670	Protein N-acetyltransferase, RimJ/RimL family (RimL) (PDB:1S7F)	4.6e-12
133	COG20_FUNCTION	COG3279	DNA-binding response regulator, LytR/AlgR family (LytT) (PDB:3BS1)	3.4e-14
134	COG20_FUNCTION	COG2847	Copper(I)-binding protein (PDB:1X9L)	1.5e-13
137	COG20_FUNCTION	COG2230	Cyclopropane fatty-acyl-phospholipid synthase and related methyltransferases (Cfa) (PDB:5Z9O)	1.3e-26
139	COG20_FUNCTION	COG2896	GTP 3',8-cyclase (molybdenum cofactor biosynthesis protein MoaA) (MoaA) (PDB:1TV7)	1.7e-71
141	COG20_FUNCTION	COG2161	Antitoxin component YafN of the YafNO toxin-antitoxin module, PHD/YefM family (StbD) (PDB:2A6Q)	7e-09
142	COG20_FUNCTION	COG3843	Type IV secretory pathway, VirD2 component (relaxase) (VirD2)	6.9e-155
144	COG20_FUNCTION	COG4959	Type IV secretory pathway, protease TraF (TraF) (PDB:1B12)	4.1e-27
151	COG20_FUNCTION	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain (OmpR) (PDB:1XHF)	3.8e-94
152	COG20_FUNCTION	COG0642	Signal transduction histidine kinase (BaeS) (PDB:1JOY)	1.2e-78
154	COG20_FUNCTION	COG0038	H+/Cl- antiporter ClcA (ClcA) (PDB:1KPK)	7.4e-13
155	COG20_FUNCTION	COG0210	Superfamily I DNA or RNA helicase (UvrD) (PDB:6PPR)	3.3e-245
156	COG20_FUNCTION	COG2264	Ribosomal protein L11 methylase PrmA (PrmA) (PDB:3GRZ)	1.9e-61
158	COG20_FUNCTION	COG1638	TRAP-type C4-dicarboxylate transport system, periplasmic component (DctP) (PDB:2CEX)	6.2e-135
159	COG20_FUNCTION	COG3090	TRAP-type C4-dicarboxylate transport system, small permease component YiaM (DctM)	2.9e-37
160	COG20_FUNCTION	COG1593	TRAP-type C4-dicarboxylate transport system, large permease component (DctQ)	3.7e-178
161	COG20_FUNCTION	COG1802	DNA-binding transcriptional regulator, GntR family (GntR) (PDB:3FMS)	7.4e-75
162	COG20_FUNCTION	COG0840	Methyl-accepting chemotaxis protein (MCP) (Tar) (PDB:1QU7)	2.4e-68
163	COG20_FUNCTION	COG3386	Sugar lactone lactonase YvrE (YvrE) (PDB:1E1A)	1.9e-53
165	COG20_FUNCTION	COG0526	Thiol-disulfide isomerase or thioredoxin (TrxA) (PDB:1XFL)	1.3e-38
166	COG20_FUNCTION	COG0165	Argininosuccinate lyase (ArgH) (PDB:1AOS)	2.2e-176
167	COG20_FUNCTION	COG0019	Diaminopimelate decarboxylase (LysA) (PDB:1D7K)	6.4e-117
168	COG20_FUNCTION	COG0246	Mannitol-1-phosphate/altronate dehydrogenases (MtlD) (PDB:1LJ8)	1.2e-140
169	COG20_FUNCTION	COG3839	ABC-type sugar transport system, ATPase component MalK (MalK) (PDB:2ONK)	2.5e-137
170	COG20_FUNCTION	COG0395	ABC-type glycerol-3-phosphate transport system, permease component (UgpE) (PDB:1VR4)	3.1e-109
171	COG20_FUNCTION	COG1175	ABC-type sugar transport system, permease component (UgpA) (PDB:3FH6)	1.5e-101
172	COG20_FUNCTION	COG1653	ABC-type glycerol-3-phosphate transport system, periplasmic component (UgpB) (PDB:2Z8D)	4.8e-165
173	COG20_FUNCTION	COG2390	DNA-binding transcriptional regulator LsrR, DeoR family (DeoR) (PDB:2GNP) (PUBMED:23974133;24893262)	1.5e-107
174	COG20_FUNCTION	COG0637	Beta-phosphoglucomutase, HAD superfamily (YcjU) (PDB:3E58) (PUBMED:29684280)	5.9e-58
175	COG20_FUNCTION	COG0784	CheY-like REC (receiver) domain, includes chemotaxis protein CheY  and sporulation regulator Spo0F (CheY) (PDB:6QRJ)	1.6e-40
176	COG20_FUNCTION	COG2200	EAL domain, c-di-GMP-specific phosphodiesterase class I (or its enzymatically inactive variant) (EAL) (PDB:2BAS)	2.7e-69
177	COG20_FUNCTION	COG0257	Ribosomal protein L36 (RpmJ) (PDB:1DFE) (PUBMED:21627333)	8.9e-13
178	COG20_FUNCTION	COG0469	Pyruvate kinase (PykF) (PDB:6QXL)	2.3e-144
179	COG20_FUNCTION	COG5480	Uncharacterized membrane protein	1.1e-36
180	COG20_FUNCTION	COG3931	Predicted N-formylglutamate amidohydrolase (HutG2) (PDB:2ODF)	1e-66
181	COG20_FUNCTION	COG3750	Uncharacterized conserved protein, UPF0335 family (PDB:6CFY)	1.6e-28
182	COG20_FUNCTION	COG3108	Uncharacterized conserved protein YcbK, DUF882 family (YcbK)	2.4e-48
184	COG20_FUNCTION	COG2893	Phosphotransferase system, mannose/fructose-specific component IIA (ManX) (PDB:1PDO)	3.1e-43
185	COG20_FUNCTION	COG1925	HPr or related phosphotransfer protein (PtsH) (PDB:1CM2)	1.4e-23
186	COG20_FUNCTION	COG0499	S-adenosylhomocysteine hydrolase (SAM1) (PDB:1A7A)	1.1e-206
187	COG20_FUNCTION	COG0642	Signal transduction histidine kinase (BaeS) (PDB:1JOY)	7.3e-153
188	COG20_FUNCTION	COG0802	tRNA A37 threonylcarbamoyladenosine biosynthesis protein TsaE (TsaE) (PDB:1FL9)	1.4e-29
189	COG20_FUNCTION	COG2887!!!COG3893	RecB family exonuclease (Slr0479)!!!Inactivated superfamily I helicase	8.2e-171
190	COG20_FUNCTION	COG1074	3-5 helicase subunit RecB of the DNA repair enzyme RecBCD (exonuclease V) (RecB) (PDB:3U44) (PUBMED:29901759;30601118)	3.2e-194
191	COG20_FUNCTION	COG0347	Nitrogen regulatory protein PII (GlnK) (PDB:2GW8) (PUBMED:24610711)	6.6e-34
192	COG20_FUNCTION	COG0004	Ammonia channel protein AmtB (AmtB) (PDB:1U77)	1.7e-154
193	COG20_FUNCTION	COG5330	Uncharacterized conserved protein, DUF2336 family	2.9e-27
194	COG20_FUNCTION	COG1295	Uncharacterized membrane protein, BrkB/YihY/UPF0761 family (not an RNase) (BrkB)	1.1e-12
195	COG20_FUNCTION	COG4815	Uncharacterized conserved protein (PDB:4LQE)	1.6e-39
196	COG20_FUNCTION	COG0849	Cell division ATPase FtsA (FtsA) (PDB:3WT0)	1.9e-113
197	COG20_FUNCTION	COG1589	Cell division septal protein FtsQ (FtsQ) (PDB:1YR1)	2.6e-35
198	COG20_FUNCTION	COG1181	D-alanine-D-alanine ligase or related ATP-grasp enzyme (DdlA) (PDB:1E4E)	1.1e-103
199	COG20_FUNCTION	COG0812	UDP-N-acetylenolpyruvoylglucosamine reductase (MurB) (PDB:2MBR)	1.5e-66
200	COG20_FUNCTION	COG1175	ABC-type sugar transport system, permease component (UgpA) (PDB:3FH6)	2e-22
201	COG20_FUNCTION	COG0395	ABC-type glycerol-3-phosphate transport system, permease component (UgpE) (PDB:1VR4)	2.7e-124
202	COG20_FUNCTION	COG3839	ABC-type sugar transport system, ATPase component MalK (MalK) (PDB:2ONK)	4.1e-106
203	COG20_FUNCTION	COG3839	ABC-type sugar transport system, ATPase component MalK (MalK) (PDB:2ONK)	1.5e-116
204	COG20_FUNCTION	COG0840	Methyl-accepting chemotaxis protein (MCP) (Tar) (PDB:1QU7)	1e-41
205	COG20_FUNCTION	COG3193	Heme-binding protein HbpS, GlcG/HbpS family (GlcG) (PDB:2A2L) (PUBMED:19244623;25342754)	6e-26
206	COG20_FUNCTION	COG2518	Protein-L-isoaspartate O-methyltransferase (Pcm) (PDB:3LBF) (PUBMED:24909784)	1e-68
207	COG20_FUNCTION	COG0739	Murein DD-endopeptidase MepM and murein hydrolase activator NlpD, contains LysM domain (NlpD) (PDB:2GU1)	6.2e-53
208	COG20_FUNCTION	COG2607	Predicted ATPase, AAA+ superfamily (Atu1564)	9.1e-88
209	COG20_FUNCTION	COG1862	Protein translocase subunit YajC (YajC)	1.6e-25
210	COG20_FUNCTION	COG0342	Preprotein translocase subunit SecD (SecD) (PDB:3AQP) (PUBMED:26100040)	1.3e-143
211	COG20_FUNCTION	COG0341	Preprotein translocase subunit SecF (SecF) (PDB:2FYH) (PUBMED:28830929)	2.4e-89
212	COG20_FUNCTION	COG3737	Uncharacterized protein, contains Mth938-like domain	4.9e-30
213	COG20_FUNCTION	COG1562	Phytoene/squalene synthetase (ERG9) (PDB:3WEK)	4.5e-41
214	COG20_FUNCTION	COG2935	Arginyl-tRNA--protein-N-Asp/Glu arginylyltransferase (Ate1)	3.7e-66
215	COG20_FUNCTION	COG0471	Di- and tricarboxylate antiporter (CitT) (PDB:4F35)	1.1e-34
216	COG20_FUNCTION	COG3785	Heat shock protein HspQ (HspQ) (PDB:5YCQ)	6e-08
217	COG20_FUNCTION	COG0679	Predicted permease, AEC (auxin efflux carrier) family (YfdV)	8.3e-50
218	COG20_FUNCTION	COG0654	2-polyprenyl-6-methoxyphenol hydroxylase and related FAD-dependent oxidoreductases (UbiH) (PDB:1BF3)	4.1e-73
219	COG20_FUNCTION	COG3733	Cu2+-containing amine oxidase (TynA) (PDB:1A2V)	6.2e-124
220	COG20_FUNCTION	COG4191	Signal transduction histidine kinase regulating C4-dicarboxylate transport system (PDB:4GCZ)	1.1e-31
221	COG20_FUNCTION	COG1220	ATP-dependent protease HslVU (ClpYQ), ATPase subunit HslU (HslU) (PDB:1DO0)	6.3e-16
222	COG20_FUNCTION	COG3152	Uncharacterized membrane protein YhaH, DUF805 family (yhaH)	1.7e-23
223	COG20_FUNCTION	COG1396	Transcriptional regulator, contains XRE-family HTH domain (HipB) (PDB:1ADR)	1.8e-29
224	COG20_FUNCTION	COG2840	DNA-nicking endonuclease, Smr domain (SmrA) (PDB:3QD7) (PUBMED:12730195)	1.9e-30
225	COG20_FUNCTION	COG4395	Predicted lipid-binding transport protein, Tim44 family (Tim44) (PDB:2CW9)	1e-23
226	COG20_FUNCTION	COG3030	FxsA protein affecting phage T7 exclusion by the F plasmid, UPF0716 family (FxsA)	1e-22
227	COG20_FUNCTION	COG1952	Preprotein translocase subunit SecB (SecB) (PDB:1OZB)	3e-41
228	COG20_FUNCTION	COG0847	DNA polymerase III, epsilon subunit or related 3'-5' exonuclease (DnaQ) (PDB:1J53)	2.6e-72
229	COG20_FUNCTION	COG0237	Dephospho-CoA kinase (CoaE) (PDB:1JJV)	5.6e-44
230	COG20_FUNCTION	COG0169	Shikimate 5-dehydrogenase (AroE) (PDB:1NPD)	9.4e-74
231	COG20_FUNCTION	COG0424	7-methyl-GTP pyrophosphatase and related NTP pyrophosphatases, Maf/HAM1 superfamily (Maf) (PDB:2P5X) (PUBMED:24210219)	4.2e-34
232	COG20_FUNCTION	COG0407	Uroporphyrinogen-III decarboxylase HemE (HemE) (PDB:2DG5)	1.6e-91
233	COG20_FUNCTION	COG1981	Protoporphyrinogen oxidase HemJ (unrelated to HemG or HemY) (HemJ) (PUBMED:20823222;21642412;25108393;29925590)	1.1e-31
234	COG20_FUNCTION	COG1158	Transcription termination factor Rho (Rho) (PDB:1PVO)	7.9e-176
235	COG20_FUNCTION	COG2814	Predicted arabinose efflux permease AraJ, MFS family (AraJ) (PDB:4LDS)	3e-43
238	COG20_FUNCTION	COG0697	Permease of the drug/metabolite transporter (DMT) superfamily (RhaT) (PDB:5I20)	8.6e-86
239	COG20_FUNCTION	COG3791	Uncharacterized conserved protein (PDB:1X6M)	1.2e-33
240	COG20_FUNCTION	COG2814	Predicted arabinose efflux permease AraJ, MFS family (AraJ) (PDB:4LDS)	8e-108
242	COG20_FUNCTION	COG3488	Uncharacterized conserved protein with two CxxC motifs, DUF1111 family	5e-29
243	COG20_FUNCTION	COG3487	Imelysin-like iron-regulated protein IrpA, duplicated M75 peptidase-like domain (IrpA) (PUBMED:21799754)	3.9e-148
244	COG20_FUNCTION	COG5002	Sensor histidine kinase WalK (WalK) (PDB:4I5S)	2.4e-68
245	COG20_FUNCTION	COG0226	ABC-type phosphate transport system, periplasmic component (PstS) (PDB:2Q9T)	9.5e-116
246	COG20_FUNCTION	COG0573	ABC-type phosphate transport system, permease component (PstC)	4.8e-51
247	COG20_FUNCTION	COG0527	Aspartate kinase (MetL1) (PDB:2CDQ)	4.5e-160
248	COG20_FUNCTION	COG3605	Signal transduction protein containing GAF and PtsI domains (PtsP)	1.3e-213
250	COG20_FUNCTION	COG0216	Protein chain release factor RF1 (PrfA) (PDB:1RQ0)	1.8e-117
251	COG20_FUNCTION	COG2890	Methylase of polypeptide chain release factors (HemK) (PDB:1NV8)	1.8e-54
253	COG20_FUNCTION	COG0664	cAMP-binding domain of CRP or a regulatory subunit of cAMP-dependent protein kinases (Crp) (PDB:1FT9)	3.7e-39
