,Position,0,1,2,3,4,5,6,7
1098,3532,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1098,3346,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1098,3306,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1098,3259,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1098,3253,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1098,3247,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1098,3100,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1098,3097,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1098,3094,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1098,3082,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1098,3064,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1098,3058,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1098,3000,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1098,2854,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1098,2716,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1099,4567,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1099,4561,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1099,4504,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1099,4498,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1099,4459,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1099,4402,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1099,4327,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1099,4285,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1099,4264,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1099,4165,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1102,5787,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1102,5706,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1102,5670,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1103,6291,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1103,6230,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1103,6216,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1103,5937,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1103,5880,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1103,5877,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1104,6724,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1104,6716,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1104,6705,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1104,6650,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1104,6652,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1104,6530,0.0,0.0,1.0,0.0,0.0,0.0,0.998,0.002
1104,6518,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1104,6503,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1104,6488,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1104,6470,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1104,6446,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1104,6425,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1106,7452,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1106,7398,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1106,7359,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1106,7317,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1106,7269,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1106,7257,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1106,7239,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1106,7189,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1107,7876,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1107,7870,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1107,7864,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1107,7738,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1108,8111,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1109,8628,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1109,8622,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1109,8616,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1109,8610,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1111,9291,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1111,9279,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1111,9216,0.0,0.0,1.0,0.0,0.0,0.0,0.164,0.836
1111,9177,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1111,9095,0.0,0.0,1.0,0.0,0.0,0.0,0.968,0.032
1111,9081,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1111,9075,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1111,9042,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1111,9021,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1112,9936,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1112,9789,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1112,9732,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1112,9690,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1113,10457,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1113,10367,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1113,10346,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1113,10343,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1113,10337,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1113,10289,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1113,10283,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1113,10262,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1113,10208,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1113,10205,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1113,10169,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1114,10693,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1114,10672,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1114,10663,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1114,10657,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1114,10615,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1114,10588,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1115,11629,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1115,11578,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1115,11577,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1115,11576,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1115,11539,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1115,11485,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1115,11461,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1115,11451,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1115,11448,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1115,11431,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1115,11407,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1115,11398,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1115,11290,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1115,11203,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1115,11197,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1115,11198,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1115,11185,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1115,11110,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1115,11086,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1115,10948,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1115,10945,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1116,11939,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1116,11847,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1116,11717,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1117,12406,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1117,12337,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1117,12277,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1117,12268,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1117,12220,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1117,12217,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1117,12100,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1117,12085,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1117,12070,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1117,12028,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1118,13224,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1118,13086,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1118,12963,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1118,12930,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1118,12924,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1118,12925,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1118,12926,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1118,12918,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1118,12753,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1118,12747,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1118,12743,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1118,12737,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1118,12687,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1118,12654,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1118,12651,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1119,13574,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1119,13538,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1119,13475,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1119,13454,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1119,13367,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1119,13343,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1119,13334,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1176,2020,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1176,2164,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1176,2224,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1176,2230,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1176,2302,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1176,2311,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1176,2365,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
1176,2380,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1177,2454,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1177,2461,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
1177,2475,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1177,2478,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
1177,2481,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1177,2658,0.0,0.0,1.0,0.0,0.0,0.0,0.114,0.886
1177,2676,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1177,2751,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1177,2823,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1543,1625,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1543,1770,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
1543,2060,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
1543,2066,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1543,2069,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1543,2072,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1543,2075,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1543,2243,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1543,2315,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1543,2447,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1544,2660,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1544,2673,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1544,2675,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1544,2708,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1544,2720,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2237,1460,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2237,1601,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2237,1646,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2237,1769,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2237,2045,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2237,2162,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2237,2177,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2237,2237,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2237,2238,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2237,2259,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2237,2273,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2237,2333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2237,2336,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2237,2390,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2237,2393,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2237,2435,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
2237,2462,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2237,2477,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2237,2633,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2237,2714,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2237,2717,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2237,2726,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2237,2774,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2237,2794,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2237,2942,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2237,3005,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2237,3008,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
2237,3164,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2237,3200,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2237,3203,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2237,3209,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2237,3212,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2237,3444,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2237,3620,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2237,3635,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
2237,3638,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2237,3644,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2237,3704,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2237,3889,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2237,3938,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2237,4061,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2237,4094,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
2237,4113,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
2237,4148,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2237,4157,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
