# min_read_ani:0.95 max_insert_relative:3 min_insert:50 min_mapq:1 pairing_filter:paired_only
scaffold	pass_pairing_filter	filtered_pairs	pass_max_insert	unfiltered_reads	mean_mistmaches	unfiltered_priority_reads	mean_mapq_score	median_insert	filtered_priority_reads	mean_PID	unfiltered_singletons	pass_min_read_ani	mean_insert_distance	unfiltered_pairs	mean_pair_length	filtered_singletons	pass_min_mapq	pass_min_insert
NORP83_50	1307	1306	1307.0	3050	2.348890589135425	0	38.319816373374145	161.0	0	0.9892235427763354	436	1306.0	169.05202754399392	1307	219.72762050497326	0	1306.0	1307.0
NORP83_62	1683	1682	1683.0	3673	2.7777777777777777	0	40.32857991681521	164.0	0	0.9872936014554212	307	1682.0	169.88829471182413	1683	219.48009506833043	0	1683.0	1683.0
NORP83_66	1362	1362	1362.0	2921	1.5205580029368575	0	40.79221732745962	164.0	0	0.9930640453688221	197	1362.0	170.98091042584434	1362	219.068281938326	0	1362.0	1362.0
NORP83_19	7051	7051	7051.0	14838	1.0882144376684155	0	40.447737909516384	168.0	0	0.9950616452544534	736	7051.0	174.74882995319814	7051	219.6789107927953	0	7051.0	7051.0
NORP83_70	790	785	790.0	1970	2.9215189873417717	0	37.14810126582279	164.0	0	0.9865687057572542	390	789.0	167.9594936708861	790	219.12531645569618	0	786.0	790.0
NORP83_61	2875	2874	2875.0	6092	1.8361739130434784	0	39.45913043478261	164.0	0	0.991635135407682	342	2875.0	172.35408695652177	2875	219.6490434782609	0	2874.0	2875.0
NORP83_73	1533	1529	1533.0	3266	1.8147423352902805	0	37.399869536855846	164.0	0	0.9917916187938794	200	1533.0	171.63861709067191	1533	220.8082191780822	0	1529.0	1533.0
NORP83_74	1493	1488	1493.0	3207	0.8780977896851976	0	39.24983255190891	169.0	0	0.9959867042868762	221	1493.0	175.9718687206966	1493	219.06831882116543	0	1488.0	1493.0
NORP83_63	3214	3214	3214.0	6831	1.28562538892346	0	39.858120721841935	167.0	0	0.9941566540895008	403	3214.0	173.15121344119476	3214	220.02551337896702	0	3214.0	3214.0
NORP83_71	1689	1689	1689.0	3624	1.1924215512137357	0	41.27767910005921	165.0	0	0.9945514451231612	246	1689.0	170.32682060390763	1689	219.76731793960926	0	1689.0	1689.0
NORP83_65	1261	1261	1261.0	2746	1.5908009516256938	0	41.24028548770817	167.0	0	0.9927741229338676	224	1261.0	173.74861221252976	1261	220.0927835051546	0	1261.0	1261.0
NORP83_68	1865	1865	1865.0	3989	1.3549597855227882	0	38.939946380697045	167.0	0	0.9938042114233444	259	1865.0	172.65308310991958	1865	220.09168900804292	0	1865.0	1865.0
NORP83_77	2079	2075	2079.0	4423	2.227032227032227	0	40.11014911014911	166.0	0	0.9898138027907164	265	2077.0	172.73929773929774	2079	218.98220298220298	0	2077.0	2079.0
NORP83_69	4072	4072	4072.0	8745	1.9130648330058941	0	41.088654223968575	165.0	0	0.991314250177758	601	4072.0	172.9582514734774	4072	220.2674361493124	0	4072.0	4072.0
NORP83_64	2969	2966	2968.0	6344	2.080835298080162	0	40.26810373863253	166.0	0	0.9905274659887596	406	2969.0	173.18221623442238	2969	220.28090266082856	0	2967.0	2969.0
NORP83_56	5680	5680	5680.0	12164	1.807922535211268	0	39.09595070422535	166.0	0	0.9917928362920952	804	5680.0	173.7882042253521	5680	220.09278169014084	0	5680.0	5680.0
NORP83_59	1942	1936	1942.0	4380	0.9799176107106076	0	41.11483007209063	165.0	0	0.9955186784463306	496	1941.0	173.9098867147271	1942	219.9819773429454	0	1937.0	1942.0
NORP83_80	2049	2047	2049.0	4397	1.3177159590043923	0	41.25866276232309	164.0	0	0.9940186756900344	299	2049.0	172.74084919472912	2049	219.7159590043924	0	2047.0	2049.0
NORP83_79	2561	2559	2561.0	5403	1.5579851620460758	0	40.57633736821554	167.0	0	0.9929010632311812	281	2561.0	173.87543928153062	2561	219.63061304178055	0	2559.0	2561.0
NORP83_75	1496	1495	1496.0	3159	0.6905080213903744	0	41.2072192513369	166.0	0	0.9968615389398504	167	1496.0	173.1644385026738	1496	219.07754010695183	0	1495.0	1496.0
NORP83_72	5494	5492	5494.0	11691	0.5691663633054241	0	41.81816527120496	165.5	0	0.9974052952136536	703	5492.0	173.38551146705498	5494	220.34473971605388	0	5494.0	5494.0
NORP83_81	1332	1331	1332.0	2797	1.1561561561561562	0	39.750750750750754	165.0	0	0.9947492728743847	133	1332.0	170.70645645645646	1332	219.53903903903904	0	1331.0	1332.0
NORP83_82	1466	1463	1466.0	3074	1.7953615279672581	0	34.982264665757164	163.5	0	0.9918674357290516	142	1466.0	170.17939972714868	1466	220.199863574352	0	1463.0	1466.0
NORP83_84	2343	2343	2343.0	5038	1.8544600938967133	0	41.43533930857875	166.0	0	0.9915508746477752	352	2343.0	173.0627400768246	2343	219.4664959453692	0	2343.0	2343.0
NORP83_86	1133	1130	1133.0	2568	1.6372462488967343	0	41.019417475728154	162.0	0	0.9924628873939072	302	1132.0	169.23124448367167	1133	219.05736981465137	0	1131.0	1133.0
NORP83_92	1077	1076	1076.0	2605	2.290622098421541	0	38.251624883936856	161.0	0	0.9895787267661332	451	1077.0	168.83658310120703	1077	218.51996285979573	0	1077.0	1077.0
NORP83_67	7384	7382	7383.0	15624	1.025866738894908	0	38.32583965330444	167.0	0	0.9953272961097762	856	7384.0	174.03588840736728	7384	219.22372697724808	0	7383.0	7384.0
NORP83_85	2521	2519	2521.0	5457	0.9119397064656882	0	39.37723125743752	165.0	0	0.995844600731882	415	2521.0	171.33478778262594	2521	219.278857596192	0	2519.0	2521.0
NORP83_88	1471	1468	1471.0	3323	1.6186267845003401	0	40.37253569000679	163.0	0	0.9926316407786284	381	1471.0	170.82664853840924	1471	220.17743031951053	0	1468.0	1471.0
NORP83_102	2347	2346	2347.0	5204	1.2036642522368979	0	41.48956114188326	164.0	0	0.994529671704019	510	2346.0	171.26203664252236	2347	219.7328504473796	0	2347.0	2347.0
NORP83_93	2285	2175	2285.0	4812	0.7194748358862144	0	33.03501094091904	166.0	0	0.9967342893918942	242	2285.0	173.07964989059082	2285	219.53960612691463	0	2175.0	2285.0
NORP83_96	2169	2169	2169.0	4651	1.5564776394651914	0	41.27524204702628	164.0	0	0.9929032857265632	313	2169.0	170.4402950668511	2169	219.3914246196404	0	2169.0	2169.0
NORP83_95	1478	1477	1478.0	3358	2.0595399188092016	0	40.45466847090663	165.0	0	0.9906106711037334	402	1477.0	169.4871447902571	1478	218.95128552097432	0	1478.0	1478.0
NORP83_78	2778	2777	2777.0	5923	1.827933765298776	0	39.1792656587473	165.0	0	0.9916549308017796	367	2778.0	173.43736501079914	2778	218.8099352051836	0	2778.0	2778.0
NORP83_91	4845	4845	4845.0	10193	1.0959752321981424	0	40.97977296181631	168.0	0	0.9950181495230036	503	4845.0	174.7391124871001	4845	219.6324045407637	0	4845.0	4845.0
NORP83_53	11560	11555	11560.0	24403	1.7116782006920417	0	39.71375432525952	167.0	0	0.9922102818091072	1283	11559.0	173.5273356401384	11560	219.501384083045	0	11556.0	11560.0
NORP83_83	1216	1216	1216.0	2673	2.3980263157894743	0	39.55016447368421	163.5	0	0.9890786561161088	241	1216.0	172.6356907894737	1216	219.702302631579	0	1216.0	1216.0
NORP83_94	1474	1473	1474.0	3303	0.9029850746268656	0	41.47150610583447	163.0	0	0.9958257032703876	355	1473.0	169.74084124830392	1474	218.70691994572599	0	1474.0	1474.0
NORP83_97	5302	5285	5302.0	11406	1.8381742738589208	0	39.097510373443974	165.0	0	0.9916218455453062	802	5301.0	171.71105243304413	5302	219.75348924933988	0	5286.0	5302.0
NORP83_107	1159	1156	1159.0	2626	2.3572044866264017	0	39.49870578084556	164.0	0	0.989285263645464	308	1158.0	170.0949094046592	1159	219.30802415875755	0	1157.0	1159.0
NORP83_100	4878	4876	4878.0	10153	1.6230012300123002	0	40.42783927839278	168.0	0	0.9926223087320846	397	4878.0	175.04961049610498	4878	219.6010660106601	0	4876.0	4878.0
NORP83_76	8147	8145	8146.0	17304	1.4712163986743587	0	39.860930403829634	166.0	0	0.993283118016185	1010	8147.0	173.10826070946356	8147	219.45305020252854	0	8146.0	8147.0
NORP83_98	4730	4729	4730.0	9966	1.6059196617336151	0	40.331712473572935	166.0	0	0.99269469851711	506	4730.0	172.6414376321353	4730	219.68372093023254	0	4729.0	4730.0
NORP83_99	1636	1580	1636.0	3455	0.5599022004889975	0	38.2817848410758	169.0	0	0.9974652120461504	183	1636.0	175.41992665036673	1636	219.869804400978	0	1580.0	1636.0
NORP83_105	2202	2168	2202.0	4699	1.3887375113533151	0	39.021344232515894	166.0	0	0.9937037224740431	295	2202.0	173.4800181653043	2202	220.15395095367847	0	2168.0	2202.0
NORP83_89	6598	6594	6597.0	14078	1.878448014549864	0	41.473628372234	166.0	0	0.991440233537752	882	6598.0	172.8620794180055	6598	219.64565019702943	0	6595.0	6598.0
NORP83_104	4879	4878	4879.0	10414	2.348227095716336	0	40.715925394548066	167.0	0	0.9893841576626288	656	4879.0	174.74810411969662	4879	221.10924369747897	0	4878.0	4879.0
NORP83_127	1578	1575	1578.0	3433	1.9797211660329532	0	40.12484157160963	166.0	0	0.9909666528805788	277	1577.0	173.2553865652725	1578	218.2902408111533	0	1576.0	1578.0
NORP83_113	3698	3697	3698.0	7751	1.237696051919957	0	41.755543537047046	165.5	0	0.9943804465870208	355	3698.0	173.09707950243373	3698	219.82612222823147	0	3697.0	3698.0
NORP83_103	1654	1647	1654.0	3581	2.5259975816203144	0	33.756348246674726	164.0	0	0.988518021111486	273	1654.0	171.7007255139057	1654	219.40931076178958	0	1647.0	1654.0
NORP83_116	1238	1238	1238.0	2780	2.051696284329564	0	39.9200323101777	164.0	0	0.9906607255236906	304	1238.0	170.4184168012924	1238	219.34410339256863	0	1238.0	1238.0
NORP83_111	3711	3711	3711.0	7844	1.1059013742926436	0	41.368903260576666	166.0	0	0.9949771893838636	422	3711.0	173.88466720560498	3711	219.1897062786311	0	3711.0	3711.0
NORP83_115	2880	2880	2880.0	6219	1.65	0	41.56458333333333	168.0	0	0.9925270421658924	459	2880.0	176.08506944444446	2880	221.27465277777782	0	2880.0	2880.0
NORP83_87	5208	5186	5208.0	10975	1.455069124423963	0	39.80165130568356	166.0	0	0.9933783348961835	559	5208.0	173.42645929339474	5208	219.52438556067588	0	5186.0	5208.0
NORP83_112	713	712	713.0	1780	3.64656381486676	0	39.65497896213184	160.0	0	0.9834026282310376	354	713.0	165.75736325385694	713	219.30294530154282	0	712.0	713.0
NORP83_114	5586	5584	5586.0	11694	1.391156462585034	0	40.66451843895453	167.0	0	0.9936667352689662	522	5586.0	174.5023272466881	5586	219.95417114214104	0	5584.0	5586.0
NORP83_90	5624	5621	5624.0	12130	1.9548364153627311	0	38.514758179231855	167.0	0	0.9911142477520348	882	5624.0	173.27862731152206	5624	219.57628022759602	0	5621.0	5624.0
NORP83_106	3865	3849	3865.0	8207	1.5950840879689518	0	38.957826649417854	163.0	0	0.992732510403164	477	3865.0	171.2908150064683	3865	219.47503234152646	0	3849.0	3865.0
NORP83_125	1321	1315	1320.0	2876	3.1461014383043153	0	35.923542770628316	163.0	0	0.9856384923064072	234	1321.0	171.52914458743376	1321	219.221044663134	0	1316.0	1321.0
NORP83_101	7740	7726	7739.0	16198	1.0426356589147288	0	40.49018087855297	167.0	0	0.9952501145628604	718	7740.0	173.95917312661496	7740	220.22506459948318	0	7727.0	7740.0
NORP83_139	1185	1182	1184.0	2639	1.69957805907173	0	40.27088607594937	165.0	0	0.9922382093977754	269	1184.0	172.36033755274258	1185	219.47679324894517	0	1184.0	1185.0
NORP83_132	1961	1959	1961.0	4166	1.9627740948495664	0	39.052014278429375	165.0	0	0.9910755566977928	244	1961.0	173.21468638449767	1961	219.29882712901585	0	1959.0	1961.0
NORP83_118	1582	1580	1582.0	3495	1.672566371681416	0	40.89317319848293	162.0	0	0.9923244795580142	331	1581.0	169.05625790139064	1582	219.16434892541088	0	1581.0	1582.0
NORP83_108	3347	3333	3347.0	7143	2.0487003286525245	0	38.6139826710487	167.0	0	0.9906722568544404	449	3347.0	173.1873319390499	3347	219.57962354347177	0	3333.0	3347.0
NORP83_109	1742	1735	1742.0	3851	1.668197474167623	0	39.149253731343286	164.0	0	0.9923689092897507	367	1742.0	171.55740528128587	1742	219.3874856486797	0	1735.0	1742.0
NORP83_130	1322	1319	1322.0	2793	1.944780635400908	0	40.802571860816954	166.0	0	0.9911897778152235	149	1322.0	173.60968229954614	1322	220.2874432677761	0	1319.0	1322.0
NORP83_143	1791	1789	1790.0	3923	1.5242881072026802	0	36.07816862088219	166.0	0	0.9930284253057782	341	1791.0	172.75153545505302	1791	218.4422110552764	0	1790.0	1791.0
NORP83_131	1540	1539	1540.0	3415	2.6305194805194807	0	39.864285714285714	164.0	0	0.9879666112199208	335	1539.0	169.51688311688312	1540	218.9435064935065	0	1540.0	1540.0
NORP83_124	5231	5226	5228.0	11024	1.6662206079143569	0	41.19900592620914	169.0	0	0.9924435476477258	562	5231.0	176.1353469699866	5231	220.15140508506974	0	5229.0	5231.0
NORP83_110	1199	1194	1199.0	2623	3.407839866555463	0	39.324437030859045	163.0	0	0.9844970111888559	225	1199.0	171.35613010842368	1199	219.977481234362	0	1194.0	1199.0
NORP83_123	2489	2486	2489.0	5356	1.9586179188429087	0	38.36681398151868	167.0	0	0.991080753861722	378	2489.0	174.6560867818401	2489	219.54921655283246	0	2486.0	2489.0
NORP83_137	2200	2200	2200.0	4757	1.6477272727272727	0	39.53545454545454	165.0	0	0.992507184956846	357	2200.0	173.39	2200	219.57136363636363	0	2200.0	2200.0
NORP83_121	1023	1023	1023.0	2366	1.9521016617790807	0	38.58846529814272	161.0	0	0.9910236572683128	320	1023.0	166.63440860215053	1023	218.5102639296188	0	1023.0	1023.0
NORP83_147	1563	1563	1563.0	3762	3.4088291746641075	0	38.932821497120926	161.0	0	0.9844294241114141	636	1563.0	168.98336532309662	1563	218.63723608445298	0	1563.0	1563.0
NORP83_117	3071	3070	3071.0	6490	1.4747639205470533	0	41.068056007815045	166.0	0	0.9933032993645138	348	3071.0	173.1904916965158	3071	219.70726147834583	0	3070.0	3071.0
NORP83_122	1732	1732	1732.0	3647	1.2090069284064666	0	41.722863741339495	164.0	0	0.9945272773908468	183	1732.0	171.5583140877598	1732	219.6160508083141	0	1732.0	1732.0
NORP83_142	4625	4623	4625.0	9952	1.7684324324324323	0	41.19567567567567	167.0	0	0.9919417303928968	702	4623.0	174.30745945945947	4625	219.79113513513516	0	4625.0	4625.0
NORP83_136	973	971	973.0	2260	1.4224049331963	0	40.747173689619736	164.0	0	0.9934920228391166	314	973.0	169.6998972250771	973	220.15519013360742	0	971.0	973.0
NORP83_126	1290	1282	1290.0	2766	1.0209302325581395	0	34.77209302325581	163.0	0	0.9953766632692944	186	1290.0	173.06046511627906	1290	219.43875968992248	0	1282.0	1290.0
NORP83_156	1277	1276	1277.0	2678	1.8183241973375095	0	39.14956930305403	165.0	0	0.9916823152245956	124	1277.0	173.80579483163666	1277	219.78935003915427	0	1276.0	1277.0
NORP83_128	1146	1145	1146.0	2682	2.1465968586387434	0	40.0130890052356	162.0	0	0.9901798120374412	390	1145.0	169.6230366492147	1146	218.94240837696339	0	1146.0	1146.0
NORP83_152	5162	5160	5162.0	10822	0.8268113134444014	0	41.07206509104998	164.0	0	0.9962403833543816	498	5162.0	172.97384734598992	5162	219.8037582332429	0	5160.0	5162.0
NORP83_154	1060	1060	1060.0	2345	0.9018867924528302	0	41.841509433962266	167.0	0	0.9959093391941716	225	1060.0	173.4301886792453	1060	220.84716981132075	0	1060.0	1060.0
NORP83_119	2208	2207	2208.0	4808	1.8256340579710144	0	41.11730072463768	165.0	0	0.9916543893923192	392	2208.0	171.80797101449275	2208	219.35914855072463	0	2207.0	2208.0
NORP83_140	2534	2534	2534.0	5528	2.088792423046567	0	40.8208366219416	165.0	0	0.9905308977690604	460	2534.0	173.53393843725334	2534	220.3235990528808	0	2534.0	2534.0
NORP83_165	179	174	179.0	518	3.3910614525139664	0	31.391061452513966	149.0	0	0.983994215509444	160	178.0	159.46927374301677	179	215.463687150838	0	174.0	179.0
NORP83_150	1991	1989	1991.0	4343	2.1662481165243594	0	40.146659969864395	164.0	0	0.990147427214649	361	1990.0	172.16524359618282	1991	220.16825715720745	0	1990.0	1991.0
NORP83_120	969	969	969.0	2384	2.862745098039216	0	39.60371517027864	163.0	0	0.9869902764179771	446	969.0	170.39112487100104	969	220.66976264189887	0	969.0	969.0
NORP83_141	2373	2369	2373.0	4952	1.7808680994521702	0	41.69195111672988	165.0	0	0.9918404979198346	206	2373.0	173.80320269700803	2373	219.01643489254107	0	2369.0	2373.0
NORP83_159	2194	2191	2194.0	4783	2.0218778486782134	0	38.58021877848678	165.0	0	0.9907593964831892	395	2193.0	173.18641750227894	2194	219.20419325433	0	2192.0	2194.0
NORP83_129	1952	1947	1952.0	4380	3.4656762295081966	0	39.02715163934426	163.0	0	0.9842469146770472	476	1951.0	169.98309426229508	1952	219.68596311475412	0	1948.0	1952.0
